schema_version,campaign_id,stage_mode,attempt_id,next_global_seq,abs_b_deg,abs_c_deg,acquisition_try,pass_id,contact_id,prior_ready_raw_count,prior_ready_mux_count,prior_ready_gated_count,current_pre_raw_count,current_pre_mux_count,current_pre_gated_count,gap_raw_delta,gap_mux_delta,gap_gated_delta,prior_contact_extra_delta,combined_extra_delta,burst_flag,consistency_fault,initial_baseline
1.0,2026082701.000000,38.000000,4.000000,3.000000,0.000000,90.000000,1.000000,2.000000,2.000000,973.000000,973.000000,454.000000,973.000000,973.000000,454.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0,2026082701.000000,38.000000,4.000000,3.000000,0.000000,90.000000,1.000000,2.000000,3.000000,974.000000,974.000000,455.000000,974.000000,974.000000,455.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0,2026082701.000000,38.000000,4.000000,3.000000,0.000000,90.000000,1.000000,2.000000,4.000000,975.000000,975.000000,456.000000,975.000000,975.000000,456.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0,2026082701.000000,38.000000,4.000000,4.000000,0.000000,135.000000,1.000000,1.000000,1.000000,976.000000,976.000000,457.000000,976.000000,976.000000,457.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0,2026082701.000000,38.000000,4.000000,4.000000,0.000000,135.000000,1.000000,1.000000,2.000000,977.000000,977.000000,458.000000,977.000000,977.000000,458.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0,2026082701.000000,38.000000,4.000000,4.000000,0.000000,135.000000,1.000000,1.000000,3.000000,978.000000,978.000000,459.000000,978.000000,978.000000,459.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0,2026082701.000000,38.000000,4.000000,4.000000,0.000000,135.000000,1.000000,1.000000,4.000000,979.000000,979.000000,460.000000,979.000000,979.000000,460.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0,2026082701.000000,38.000000,4.000000,4.000000,0.000000,135.000000,1.000000,2.000000,1.000000,980.000000,980.000000,461.000000,980.000000,980.000000,461.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0,2026082701.000000,38.000000,4.000000,4.000000,0.000000,135.000000,1.000000,2.000000,2.000000,981.000000,981.000000,462.000000,981.000000,981.000000,462.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0,2026082701.000000,38.000000,4.000000,4.000000,0.000000,135.000000,1.000000,2.000000,3.000000,982.000000,982.000000,463.000000,982.000000,982.000000,463.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0,2026082701.000000,38.000000,4.000000,4.000000,0.000000,135.000000,1.000000,2.000000,4.000000,983.000000,983.000000,464.000000,983.000000,983.000000,464.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0,2026082701.000000,38.000000,4.000000,5.000000,0.000000,180.000000,1.000000,1.000000,1.000000,984.000000,984.000000,465.000000,984.000000,984.000000,465.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0,2026082701.000000,38.000000,4.000000,5.000000,0.000000,180.000000,1.000000,1.000000,2.000000,985.000000,985.000000,466.000000,985.000000,985.000000,466.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0,2026082701.000000,38.000000,4.000000,5.000000,0.000000,180.000000,1.000000,1.000000,3.000000,986.000000,986.000000,467.000000,986.000000,986.000000,467.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0,2026082701.000000,38.000000,4.000000,5.000000,0.000000,180.000000,1.000000,1.000000,4.000000,987.000000,987.000000,468.000000,987.000000,987.000000,468.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0,2026082701.000000,38.000000,4.000000,5.000000,0.000000,180.000000,1.000000,2.000000,1.000000,988.000000,988.000000,469.000000,988.000000,988.000000,469.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0,2026082701.000000,38.000000,4.000000,5.000000,0.000000,180.000000,1.000000,2.000000,2.000000,989.000000,989.000000,470.000000,989.000000,989.000000,470.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0,2026082701.000000,38.000000,4.000000,5.000000,0.000000,180.000000,1.000000,2.000000,3.000000,990.000000,990.000000,471.000000,990.000000,990.000000,471.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0,2026082701.000000,38.000000,4.000000,5.000000,0.000000,180.000000,1.000000,2.000000,4.000000,991.000000,991.000000,472.000000,991.000000,991.000000,472.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0,2026082701.000000,38.000000,4.000000,6.000000,0.000000,225.000000,1.000000,1.000000,1.000000,992.000000,992.000000,473.000000,992.000000,992.000000,473.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0,2026082701.000000,38.000000,4.000000,6.000000,0.000000,225.000000,1.000000,1.000000,2.000000,993.000000,993.000000,474.000000,993.000000,993.000000,474.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0,2026082701.000000,38.000000,4.000000,6.000000,0.000000,225.000000,1.000000,1.000000,3.000000,995.000000,995.000000,475.000000,995.000000,995.000000,475.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000
1.0,2026082701.000000,38.000000,4.000000,6.000000,0.000000,225.000000,1.000000,1.000000,4.000000,996.000000,996.000000,476.000000,996.000000,996.000000,476.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0,2026082701.000000,38.000000,4.000000,6.000000,0.000000,225.000000,1.000000,2.000000,1.000000,997.000000,997.000000,477.000000,997.000000,997.000000,477.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0,2026082701.000000,38.000000,4.000000,6.000000,0.000000,225.000000,1.000000,2.000000,2.000000,998.000000,998.000000,478.000000,998.000000,998.000000,478.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0,2026082701.000000,38.000000,4.000000,6.000000,0.000000,225.000000,1.000000,2.000000,3.000000,999.000000,999.000000,479.000000,999.000000,999.000000,479.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0,2026082701.000000,38.000000,4.000000,6.000000,0.000000,225.000000,1.000000,2.000000,4.000000,1000.000000,1000.000000,480.000000,1000.000000,1000.000000,480.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0,2026082701.000000,38.000000,4.000000,7.000000,0.000000,270.000000,1.000000,1.000000,1.000000,1001.000000,1001.000000,481.000000,1001.000000,1001.000000,481.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0,2026082701.000000,38.000000,4.000000,7.000000,0.000000,270.000000,1.000000,1.000000,2.000000,1003.000000,1003.000000,482.000000,1003.000000,1003.000000,482.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000
1.0,2026082701.000000,38.000000,4.000000,7.000000,0.000000,270.000000,1.000000,1.000000,3.000000,1005.000000,1005.000000,483.000000,1005.000000,1005.000000,483.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000
1.0,2026082701.000000,38.000000,4.000000,7.000000,0.000000,270.000000,1.000000,1.000000,4.000000,1006.000000,1006.000000,484.000000,1006.000000,1006.000000,484.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0,2026082701.000000,38.000000,4.000000,7.000000,0.000000,270.000000,1.000000,2.000000,1.000000,1007.000000,1007.000000,485.000000,1007.000000,1007.000000,485.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0,2026082701.000000,38.000000,4.000000,7.000000,0.000000,270.000000,1.000000,2.000000,2.000000,1010.000000,1010.000000,486.000000,1011.000000,1011.000000,486.000000,1.000000,1.000000,0.000000,2.000000,3.000000,0.000000,0.000000,0.000000
1.0,2026082701.000000,38.000000,4.000000,7.000000,0.000000,270.000000,1.000000,2.000000,3.000000,1012.000000,1012.000000,487.000000,1012.000000,1012.000000,487.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0,2026082701.000000,38.000000,4.000000,7.000000,0.000000,270.000000,1.000000,2.000000,4.000000,1013.000000,1013.000000,488.000000,1013.000000,1013.000000,488.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0,2026082701.000000,38.000000,4.000000,8.000000,0.000000,315.000000,1.000000,1.000000,1.000000,1015.000000,1015.000000,489.000000,1015.000000,1015.000000,489.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000
