schema_version,campaign_id,stage_mode,attempt_id,global_seq,abs_b_deg,abs_c_deg,acquisition_try,pass_id,contact_id,pre_raw_count,pre_mux_count,pre_gated_count,post_raw_count,post_mux_count,post_gated_count,ready_raw_count,ready_mux_count,ready_gated_count,probe_result,travel_mm,raw_delta,mux_delta,gated_delta,repeat_raw_delta,repeat_mux_delta,repeat_gated_delta,extra_raw_minus_gated_delta,chatter_observed,quiet_episode_count,quiet_elapsed_s,quiet_reset_count,consistency_fault,release_fault,terminal_failure
2.0,2026082701.000000,41.000000,7.000000,25.000000,10.000000,45.000000,1.000000,2.000000,2.000000,1675.000000,1675.000000,631.000000,1676.000000,1676.000000,632.000000,1676.000000,1676.000000,632.000000,1.000000,3.992928,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.0,2026082701.000000,41.000000,7.000000,25.000000,10.000000,45.000000,1.000000,2.000000,3.000000,1676.000000,1676.000000,632.000000,1677.000000,1677.000000,633.000000,1677.000000,1677.000000,633.000000,1.000000,3.936317,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.0,2026082701.000000,41.000000,7.000000,25.000000,10.000000,45.000000,1.000000,2.000000,4.000000,1677.000000,1677.000000,633.000000,1678.000000,1678.000000,634.000000,1678.000000,1678.000000,634.000000,1.000000,3.915398,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.0,2026082701.000000,41.000000,7.000000,26.000000,10.000000,90.000000,1.000000,1.000000,1.000000,1678.000000,1678.000000,634.000000,1679.000000,1679.000000,635.000000,1679.000000,1679.000000,635.000000,1.000000,4.988537,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.0,2026082701.000000,41.000000,7.000000,26.000000,10.000000,90.000000,1.000000,1.000000,2.000000,1679.000000,1679.000000,635.000000,1680.000000,1680.000000,636.000000,1680.000000,1680.000000,636.000000,1.000000,3.990017,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.0,2026082701.000000,41.000000,7.000000,26.000000,10.000000,90.000000,1.000000,1.000000,3.000000,1680.000000,1680.000000,636.000000,1681.000000,1681.000000,637.000000,1681.000000,1681.000000,637.000000,1.000000,3.889336,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.0,2026082701.000000,41.000000,7.000000,26.000000,10.000000,90.000000,1.000000,1.000000,4.000000,1681.000000,1681.000000,637.000000,1682.000000,1682.000000,638.000000,1682.000000,1682.000000,638.000000,1.000000,4.018042,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.0,2026082701.000000,41.000000,7.000000,26.000000,10.000000,90.000000,1.000000,2.000000,1.000000,1682.000000,1682.000000,638.000000,1683.000000,1683.000000,639.000000,1683.000000,1683.000000,639.000000,1.000000,4.997676,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.0,2026082701.000000,41.000000,7.000000,26.000000,10.000000,90.000000,1.000000,2.000000,2.000000,1683.000000,1683.000000,639.000000,1684.000000,1684.000000,640.000000,1684.000000,1684.000000,640.000000,1.000000,3.998870,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.0,2026082701.000000,41.000000,7.000000,26.000000,10.000000,90.000000,1.000000,2.000000,3.000000,1684.000000,1684.000000,640.000000,1685.000000,1685.000000,641.000000,1685.000000,1685.000000,641.000000,1.000000,3.952266,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
