schema_version,campaign_id,stage_mode,attempt_id,sample_seq,block_id,anchor_seq,is_closure,contact_count,u_method_code,abs_b_deg,abs_c_deg,live_tool_number,expected_tool_length_mm,probe_calibration_offset_mm,probe_diameter_mm,effective_contact_radius_mm,center_abs_x_mm,center_abs_y_mm,center_abs_z_mm,u_center_correction_mm,v_center_correction_mm,center_correction_norm_mm,v_corrected_diameter_mm,pass_center_delta_mm,w_contact_radial_residual_mm,u_contact_radial_residual_mm,v_minus_contact_radial_residual_mm,v_plus_contact_radial_residual_mm,w_travel_mm,u_travel_mm,v_minus_travel_mm,v_plus_travel_mm
1.0,2026082402.000000,21.000000,1.000000,1.000000,0.000000,1.000000,0.000000,4.0,1.0,0.000000,0.000000,4.000000,229.407000,0.154742,6.000000,17.845258,1024.027734,443.436704,-302.465647,-0.001388,0.000001,0.001388,30.154668,0.002002,0.000000,0.000000,0.077334,0.077334,4.998500,3.998612,3.922667,3.922665
1.0,2026082402.000000,21.000000,1.000000,2.000000,45.000000,2.000000,0.000000,4.0,1.0,45.000000,0.000000,4.000000,229.407000,0.154742,6.000000,17.845258,1024.331970,443.329255,-302.454204,0.007701,0.000950,0.007759,30.161333,0.008009,0.000002,0.000000,0.080668,0.080668,4.998364,4.007701,3.920284,3.918383
1.0,2026082402.000000,21.000000,1.000000,3.000000,45.000000,2.000000,0.000000,4.0,1.0,45.000000,90.000000,4.000000,229.407000,0.154742,6.000000,17.845258,1024.024139,443.668492,-302.392514,-0.007411,0.001818,0.007631,30.148069,0.009077,0.000002,0.000000,0.074036,0.074036,4.995030,3.992589,3.927784,3.924147
1.0,2026082402.000000,21.000000,1.000000,4.000000,45.000000,2.000000,0.000000,4.0,1.0,45.000000,180.000000,4.000000,229.407000,0.154742,6.000000,17.845258,1023.939084,443.512915,-302.462233,-0.003965,0.002099,0.004486,30.177369,0.004724,0.000000,0.000000,0.088685,0.088685,4.997306,3.996035,3.913415,3.909216
1.0,2026082402.000000,21.000000,1.000000,5.000000,45.000000,2.000000,0.000000,4.0,1.0,45.000000,270.000000,4.000000,229.407000,0.154742,6.000000,17.845258,1023.958242,443.349374,-302.436530,-0.000788,0.015674,0.015694,30.289805,0.001915,0.000007,0.000022,0.144903,0.144903,4.999962,3.999212,3.870772,3.839423
1.0,2026082402.000000,21.000000,1.000000,6.000000,45.000000,2.000000,1.000000,4.0,1.0,45.000000,0.000000,4.000000,229.407000,0.154742,6.000000,17.845258,1024.323757,443.326926,-302.452112,-0.009911,-0.004050,0.010707,30.159667,0.010737,0.000003,0.000000,0.079836,0.079836,5.001697,3.990089,3.916117,3.924216
1.0,2026082402.000000,21.000000,1.000000,7.000000,90.000000,7.000000,0.000000,4.0,1.0,90.000000,0.000000,4.000000,229.407000,0.154742,6.000000,17.845258,1024.177494,443.280460,-302.415999,0.000240,-0.003168,0.003177,30.169667,0.019578,0.000000,0.000000,0.084833,0.084833,5.019344,4.000240,3.911999,3.918335
1.0,2026082402.000000,21.000000,1.000000,8.000000,90.000000,7.000000,0.000000,4.0,1.0,90.000000,90.000000,4.000000,229.407000,0.154742,6.000000,17.845258,1024.050508,443.317689,-302.472465,-0.000593,-0.002751,0.002814,30.148834,0.003218,0.000000,0.000000,0.074417,0.074417,5.001844,3.999407,3.922832,3.928334
1.0,2026082402.000000,21.000000,1.000000,9.000000,90.000000,7.000000,0.000000,4.0,1.0,90.000000,180.000000,4.000000,229.407000,0.154742,6.000000,17.845258,1024.211254,443.417496,-302.422242,0.001906,-0.003481,0.003969,30.178833,0.006690,0.000000,0.000001,0.089417,0.089417,4.993669,4.001906,3.907102,3.914065
