schema_version,campaign_id,phase_id,pass_id,twp_mode,b_deg,c_deg,center_x,center_y,center_z,v_diameter_mm,max_radial_residual_mm,cumulative_gated_edges
1,2026083101.000000,1.000000,1.000000,0.000000,-0.000354,-0.000023,0.001139,0.015416,-21.492091,30.185500,0.092750,4.000000
1,2026083101.000000,1.000000,2.000000,0.000000,-0.000354,-0.000023,-0.004695,0.014585,-21.489758,30.182167,0.091084,8.000000
1,2026083101.000000,1.000000,1.000000,0.000000,-0.000354,-0.000367,0.045313,0.031230,-21.472924,30.172167,0.086140,4.000000
1,2026083101.000000,1.000000,2.000000,0.000000,-0.000354,-0.000367,0.043647,0.034564,-21.468924,30.173833,0.086970,8.000000
1,2026083101.000000,2.000000,1.000000,1.000000,-0.000354,-0.000367,0.044915,0.035833,-21.467425,30.173000,0.086553,12.000000
1,2026083101.000000,2.000000,2.000000,1.000000,-0.000354,-0.000367,0.041582,0.039167,-21.469258,30.181333,0.090712,16.000000
1,2026083101.000000,3.000000,1.000000,0.000000,-0.000354,-0.000367,0.044485,0.045814,-21.468591,30.194667,0.097388,20.000000
1,2026083101.000000,3.000000,2.000000,0.000000,-0.000354,-0.000367,0.041147,0.035816,-21.466258,30.174667,0.087380,24.000000
