schema_version,campaign_id,stage_mode,attempt_id,sample_seq,abs_b_deg,abs_c_deg,persistent_correction_enabled,tcpc_enabled,twp_active,twp_motion_enabled,twp_valid,b_ssi_invalid,c_ssi_invalid,motion_tooloffset_z_mm,halui_tool_length_offset_z_mm,kins_active_tool_offset_z_mm,joint_b_cmd_deg,joint_b_fb_deg,joint_c_cmd_deg,joint_c_fb_deg,b_ssi_zeroed_deg,c_ssi_zeroed_deg,accepted_endpoint_abs_x_mm,accepted_endpoint_abs_y_mm,accepted_endpoint_abs_z_mm,joint_0_motor_pos_cmd_mm,joint_0_motor_pos_fb_mm,joint_0_motor_following_error_fb_minus_cmd_mm,joint_1_motor_pos_cmd_mm,joint_1_motor_pos_fb_mm,joint_1_motor_following_error_fb_minus_cmd_mm,joint_2_motor_pos_cmd_mm,joint_2_motor_pos_fb_mm,joint_2_motor_following_error_fb_minus_cmd_mm
1.0,2026082701.000000,38.000000,4.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,229.407000,229.407000,229.407000,0.000000,-0.000010,0.000000,-0.000023,-0.000010,-359.999977,2500.940936,696.545594,-279.730629,1503.411536,1503.411536,0.000000,212.483594,212.483594,0.000000,430.140371,430.140371,0.000000
1.0,2026082701.000000,38.000000,4.000000,2.000000,0.000000,45.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,229.407000,229.407000,229.407000,0.000000,-0.000010,45.000000,44.999290,-0.000010,-404.999290,2501.053767,696.557059,-279.728462,1484.444954,1484.444954,0.000000,205.134672,205.134672,0.000000,430.146005,430.146005,0.000000
1.0,2026082701.000000,38.000000,4.000000,3.000000,0.000000,90.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,229.407000,229.407000,229.407000,0.000000,-0.000010,90.000000,89.999633,-0.000010,-449.999633,2501.108033,696.527478,-279.719629,1476.213294,1476.213295,0.000000,186.439937,186.439937,0.000000,430.163214,430.163214,0.000000
1.0,2026082701.000000,38.000000,4.000000,4.000000,0.000000,135.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,229.407000,229.407000,229.407000,0.000000,-0.000010,135.000000,134.999290,-0.000010,-494.999290,2501.127073,696.571489,-279.714963,1483.593680,1483.593680,0.000000,167.447823,167.447823,0.000000,430.176259,430.176259,0.000000
1.0,2026082701.000000,38.000000,4.000000,5.000000,0.000000,180.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,229.407000,229.407000,229.407000,0.000000,-0.000010,180.000000,179.999977,-0.000010,-539.999977,2501.080355,696.606748,-279.710296,1502.243402,1502.243401,0.000000,159.227089,159.227089,0.000000,430.184399,430.184399,0.000000
1.0,2026082701.000000,38.000000,4.000000,6.000000,0.000000,225.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,229.407000,229.407000,229.407000,0.000000,-0.000010,225.000000,224.999290,-0.000010,-584.999633,2501.034297,696.639362,-279.713963,1521.276757,1521.276757,0.000000,166.620089,166.620089,0.000000,430.177266,430.177266,0.000000
1.0,2026082701.000000,38.000000,4.000000,7.000000,0.000000,270.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,229.407000,229.407000,229.407000,0.000000,-0.000010,270.000000,270.000663,-0.000010,-630.000663,2501.004865,696.668945,-279.715964,1529.533250,1529.533250,0.000000,185.314826,185.314826,0.000000,430.166889,430.166889,0.000000
1.0,2026082701.000000,38.000000,4.000000,8.000000,0.000000,315.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,229.407000,229.407000,229.407000,0.000000,-0.000010,315.000000,314.999977,-0.000010,-674.999977,2500.956157,696.603170,-279.726298,1522.123197,1522.123197,0.000000,204.285176,204.285176,0.000000,430.148176,430.148176,0.000000
1.0,2026082701.000000,38.000000,4.000000,9.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,229.407000,229.407000,229.407000,0.000000,-0.000010,0.000000,-0.000023,-0.000010,-359.999977,2500.972727,696.550279,-279.730798,1503.443327,1503.443327,0.000000,212.488279,212.488279,0.000000,430.140202,430.140202,0.000000
