0.017203,0.000320,1.000000,0.000000,1.000000,409.928717,552.740008,-452.967172
0.017203,0.000320,1.000000,0.000000,2.000000,392.368480,552.739910,-470.961900
0.017203,0.000320,1.000000,0.000000,3.000000,428.337312,552.740111,-470.972700
0.017203,0.000320,1.000000,0.000000,4.000000,409.923409,535.582674,-470.967171
0.017203,0.000320,1.000000,0.000000,5.000000,409.923208,571.483174,-470.967171
0.017203,0.000320,2.000000,1.000000,1.000000,410.358303,553.532927,-452.943301
0.017203,0.000320,2.000000,1.000000,2.000000,392.357233,553.532826,-470.937897
0.017203,0.000320,2.000000,1.000000,3.000000,428.353565,553.533027,-470.948705
0.017203,0.000320,2.000000,1.000000,4.000000,410.352999,535.576427,-470.943300
0.017203,0.000320,2.000000,1.000000,5.000000,410.352798,571.495260,-470.943300
