schema_version,campaign_id,stage_mode,attempt_id,block_id,open_sample_seq,close_sample_seq,abs_b_deg,abs_c_deg,closure_dx_mm,closure_dy_mm,closure_dz_mm,closure_norm_mm,limit_mm,pass
1.0,2026082701.000000,36.000000,2.000000,100.000000,1.000000,9.000000,0.000000,0.000000,-0.007656,0.020104,-0.001003,0.021536,0.050,1.000000
1.0,2026082701.000000,36.000000,2.000000,3609.000000,9.000000,9.000000,0.000000,0.000000,0.001082,0.004974,0.004163,0.006576,0.050,1.000000
1.0,2026082701.000000,36.000000,2.000000,3617.000000,17.000000,17.000000,-5.000000,0.000000,-0.006894,0.025621,0.003354,0.026743,0.050,1.000000
