schema_version,campaign_id,stage_mode,attempt_id,block_id,open_sample_seq,close_sample_seq,abs_b_deg,abs_c_deg,closure_dx_mm,closure_dy_mm,closure_dz_mm,closure_norm_mm,limit_mm,pass
1.0,2026082404.000000,27.000000,3.000000,100.000000,1.000000,9.000000,0.000000,0.000000,-0.000517,0.020372,0.000667,0.020390,0.050,1.000000
1.0,2026082404.000000,27.000000,3.000000,-15.000000,45.000000,51.000000,-15.000000,0.000000,0.017432,0.001512,0.008606,0.019499,0.050,1.000000
1.0,2026082404.000000,27.000000,3.000000,30.000000,52.000000,56.000000,30.000000,0.000000,0.005790,-0.001435,-0.003288,0.006812,0.050,1.000000
1.0,2026082404.000000,27.000000,3.000000,-30.000000,57.000000,61.000000,-30.000000,0.000000,0.004899,0.002120,-0.003680,0.006484,0.050,1.000000
1.0,2026082404.000000,27.000000,3.000000,45.000000,62.000000,66.000000,45.000000,0.000000,0.012800,0.004311,-0.003982,0.014082,0.050,1.000000
