schema_version,campaign_id,stage_mode,attempt_id,sample_seq,block_id,anchor_seq,is_closure,contact_count,u_method_code,abs_b_deg,abs_c_deg,live_tool_number,expected_tool_length_mm,probe_calibration_offset_mm,probe_diameter_mm,effective_contact_radius_mm,center_abs_x_mm,center_abs_y_mm,center_abs_z_mm,u_center_correction_mm,v_center_correction_mm,center_correction_norm_mm,v_corrected_diameter_mm,pass_center_delta_mm,w_contact_radial_residual_mm,u_contact_radial_residual_mm,v_minus_contact_radial_residual_mm,v_plus_contact_radial_residual_mm,w_travel_mm,u_travel_mm,v_minus_travel_mm,v_plus_travel_mm
1.0,2026082601.000000,31.000000,5.000000,24.000000,-90.000000,3.000000,0.000000,4.0,2.000000,-90.000000,180.000000,3.000000,128.606729,0.117658,6.000000,17.882342,1025.030116,844.215489,-403.053822,0.004890,-0.002507,0.005495,30.135500,0.014595,0.000000,0.000001,0.067751,0.067751,4.986310,3.995110,3.929743,3.934757
1.0,2026082601.000000,31.000000,5.000000,25.000000,-90.000000,4.000000,0.000000,4.0,2.000000,-90.000000,270.000000,3.000000,128.606729,0.117658,6.000000,17.882342,1025.211971,843.410017,-403.088932,0.000723,-0.012534,0.012555,30.289397,0.004536,0.000004,0.000021,0.144699,0.144699,5.003936,3.999277,3.842767,3.867836
1.0,2026082601.000000,31.000000,5.000000,26.000000,-90.000000,5.000000,1.000000,4.0,2.000000,-90.000000,0.000000,3.000000,128.606729,0.117658,6.000000,17.882342,1025.260616,844.118031,-403.119876,0.014055,0.001215,0.014108,30.127345,0.015579,0.000006,0.000000,0.063678,0.063678,4.993489,3.985945,3.937542,3.935113
1.0,2026082601.000000,31.000000,5.000000,27.000000,200.000000,1.000000,0.000000,4.0,1.000000,0.000000,0.000000,3.000000,128.606729,0.117658,6.000000,17.882342,1024.931128,844.025532,-403.286043,0.001044,0.000834,0.001337,30.123001,0.001698,0.000000,0.000000,0.061501,0.061501,5.001000,4.001044,3.939333,3.937665
1.0,2026082601.000000,31.000000,5.000000,28.000000,200.000000,2.000000,0.000000,4.0,1.000000,0.000000,90.000000,3.000000,128.606729,0.117658,6.000000,17.882342,1024.985653,844.032520,-403.269710,0.001044,0.002084,0.002331,30.128841,0.002234,0.000000,0.000000,0.064421,0.064421,5.000167,4.001044,3.937663,3.933496
1.0,2026082601.000000,31.000000,5.000000,29.000000,200.000000,3.000000,0.000000,4.0,1.000000,0.000000,180.000000,3.000000,128.606729,0.117658,6.000000,17.882342,1025.067667,844.130002,-403.245877,0.001718,0.000828,0.001907,30.136337,0.002064,0.000000,0.000000,0.068169,0.068169,5.001000,4.001718,3.932659,3.931004
1.0,2026082601.000000,31.000000,5.000000,30.000000,200.000000,4.000000,0.000000,4.0,1.000000,0.000000,270.000000,3.000000,128.606729,0.117658,6.000000,17.882342,1025.025126,844.124787,-403.252877,-0.002915,-0.002086,0.003585,30.282144,0.002730,0.000000,0.000000,0.141072,0.141072,4.999333,3.997085,3.856842,3.861015
1.0,2026082601.000000,31.000000,5.000000,31.000000,200.000000,5.000000,1.000000,4.0,1.000000,0.000000,0.000000,3.000000,128.606729,0.117658,6.000000,17.882342,1024.928164,844.033499,-403.284877,0.001045,0.000415,0.001124,30.123837,0.003689,0.000000,0.000000,0.061919,0.061919,5.003500,4.001045,3.938496,3.937666
