campaign_id,leg_id,stage_mode,attempt_id,sample_seq,abs_b_deg,abs_c_deg,live_tool_number,expected_tool_length_mm,probe_calibration_offset_mm,probe_diameter_mm,persistent_correction_enabled,tcpc_enabled,twp_active,twp_motion_enabled,twp_valid,b_ssi_invalid,c_ssi_invalid,center_abs_x_mm,center_abs_y_mm,center_abs_z_mm,u_center_error_mm,v_center_error_mm,u_corrected_diameter_mm,v_corrected_diameter_mm,motion_tooloffset_z_mm,halui_tool_length_offset_z_mm,kins_active_tool_offset_z_mm,joint_b_cmd_deg,joint_b_fb_deg,joint_c_cmd_deg,joint_c_fb_deg,b_ssi_zeroed_deg,c_ssi_zeroed_deg,accepted_endpoint_abs_x_mm,accepted_endpoint_abs_y_mm,accepted_endpoint_abs_z_mm,joint_0_motor_pos_cmd_mm,joint_0_motor_pos_fb_mm,joint_0_motor_following_error_fb_minus_cmd_mm,joint_1_motor_pos_cmd_mm,joint_1_motor_pos_fb_mm,joint_1_motor_following_error_fb_minus_cmd_mm,joint_2_motor_pos_cmd_mm,joint_2_motor_pos_fb_mm,joint_2_motor_following_error_fb_minus_cmd_mm
2026082201.000000,1.000000,15.000000,2.000000,1.000000,0.000000,0.000000,3.000000,128.606729,0.117658,6.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1024.055136,443.401714,-403.310471,-0.002119,-0.002075,30.212007,30.168833,128.606729,128.606729,128.606729,0.000000,-0.000010,0.000000,0.000663,-360.000010,-0.000663,1024.056333,443.402750,-380.428128,-223.160823,-223.160823,0.000000,-341.154850,-341.154850,0.000000,173.095672,173.095672,0.000000
2026082201.000000,1.000000,15.000000,3.000000,1.000000,0.000000,0.000000,3.000000,128.606729,0.117658,6.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1024.046889,443.398318,-403.309966,-0.003795,-0.000833,30.212348,30.166334,128.606729,128.606729,128.606729,0.000000,-0.000010,0.000000,-0.000023,-360.000010,0.000023,1024.048765,443.398734,-380.427625,-223.168391,-223.168391,0.000000,-341.158866,-341.158866,0.000000,173.096175,173.096175,0.000000
2026082201.000000,1.000000,15.000000,3.000000,2.000000,0.000000,90.000000,3.000000,128.606729,0.117658,6.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1024.036823,443.444176,-403.294466,-0.002455,-0.000002,30.196653,30.126330,128.606729,128.606729,128.606729,0.000000,-0.000010,90.000000,89.999633,-360.000010,-89.999633,1024.036823,443.445342,-380.412124,-250.525215,-250.525215,0.000000,-367.190516,-367.190516,0.000000,173.111676,173.111676,0.000000
2026082201.000000,1.000000,15.000000,3.000000,3.000000,0.000000,180.000000,3.000000,128.606729,0.117658,6.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1024.014192,443.446165,-403.271467,-0.000275,0.003341,30.206334,30.178000,128.606729,128.606729,128.606729,0.000000,-0.000010,180.000000,179.999633,-360.000010,-179.999633,1024.013916,443.447840,-380.389125,-224.469863,-224.469863,0.000000,-394.532901,-394.532901,0.000000,173.134675,173.134675,0.000000
2026082201.000000,1.000000,15.000000,3.000000,4.000000,0.000000,270.000000,3.000000,128.606729,0.117658,6.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1024.055133,443.392424,-403.281800,0.001295,-0.000032,30.191008,30.279693,128.606729,128.606729,128.606729,0.000000,0.000333,270.000000,270.003753,-360.000010,-270.003410,1024.055149,443.393774,-380.399458,-197.083748,-197.083751,-0.000003,-368.508709,-368.508709,0.000000,173.124342,173.124342,0.000000
2026082201.000000,1.000000,15.000000,3.000000,5.000000,0.000000,0.000000,3.000000,128.606729,0.117658,6.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1024.041977,443.393600,-403.306301,-0.001622,0.000000,30.209667,30.166333,128.606729,128.606729,128.606729,0.000000,-0.000010,0.000000,-0.000023,-360.000010,0.000023,1024.042766,443.393599,-380.423959,-223.174389,-223.174390,0.000000,-341.164000,-341.164000,0.000000,173.099841,173.099841,0.000000
2026082201.000000,1.000000,16.000000,1.000000,1.000000,0.000000,0.000000,3.000000,128.606729,0.117658,6.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1024.026318,443.388183,-403.299134,0.003458,-0.000833,30.209827,30.166333,128.606729,128.606729,128.606729,0.000000,-0.000010,0.000000,-0.000023,-360.000010,0.000023,1024.024566,443.388600,-380.416792,-223.192589,-223.192589,0.000000,-341.169000,-341.169000,0.000000,173.107008,173.107008,0.000000
2026082201.000000,1.000000,16.000000,1.000000,2.000000,5.000000,0.000000,3.000000,128.606729,0.117658,6.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1024.065814,443.373794,-403.295404,0.002310,0.000427,30.280823,30.170500,128.606729,128.606729,128.606729,5.000000,5.000142,0.000000,-0.000023,-354.999858,0.000023,1026.058457,443.373617,-380.499990,-194.298168,-194.298167,0.000000,-341.204735,-341.204735,0.000000,171.795636,171.795636,0.000000
2026082201.000000,1.000000,16.000000,1.000000,3.000000,5.000000,20.000000,3.000000,128.606729,0.117658,6.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1024.055263,443.402701,-403.295111,-0.003532,0.000800,30.245584,30.197834,128.606729,128.606729,128.606729,5.000000,4.999799,20.000000,20.004364,-355.000201,-20.004364,1025.931573,444.084821,-380.500003,-205.214780,-205.214780,0.000000,-332.711839,-332.711839,0.000000,171.791678,171.791678,0.000000
2026082201.000000,1.000000,16.000000,1.000000,4.000000,5.000000,-20.000000,3.000000,128.606729,0.117658,6.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1024.073032,443.370822,-403.292858,-0.003657,-0.002526,30.235193,30.171045,128.606729,128.606729,128.606729,5.000000,4.999799,-20.000000,-19.999947,-354.999858,19.999947,1025.948717,442.689486,-380.497703,-186.934277,-186.934278,0.000000,-352.891385,-352.891385,0.000000,171.801726,171.801726,0.000000
