schema_version,campaign_id,stage_mode,attempt_id,block_id,open_sample_seq,close_sample_seq,abs_b_deg,abs_c_deg,closure_dx_mm,closure_dy_mm,closure_dz_mm,closure_norm_mm,limit_mm,pass
1.0,2026082404.000000,28.000000,4.000000,100.000000,1.000000,9.000000,0.000000,0.000000,0.009712,0.021680,0.002329,0.023869,0.050,1.000000
1.0,2026082404.000000,28.000000,4.000000,-45.000000,67.000000,71.000000,-45.000000,0.000000,-0.006253,-0.017226,-0.004244,0.018810,0.050,1.000000
1.0,2026082404.000000,28.000000,4.000000,905.000000,9.000000,72.000000,0.000000,0.000000,0.001089,0.000638,-0.003712,0.003921,0.050,1.000000
1.0,2026082404.000000,28.000000,4.000000,60.000000,73.000000,77.000000,60.000000,0.000000,0.002700,-0.011789,-0.003795,0.012675,0.050,1.000000
1.0,2026082404.000000,28.000000,4.000000,-60.000000,78.000000,82.000000,-60.000000,0.000000,0.005543,-0.000512,-0.005616,0.007907,0.050,1.000000
1.0,2026082404.000000,28.000000,4.000000,90.000000,83.000000,87.000000,90.000000,0.000000,0.001775,-0.003195,-0.008346,0.009112,0.050,1.000000
1.0,2026082404.000000,28.000000,4.000000,-90.000000,88.000000,92.000000,-90.000000,0.000000,0.002590,0.010078,0.004841,0.011476,0.050,1.000000
1.0,2026082404.000000,28.000000,4.000000,911.000000,1.000000,93.000000,0.000000,0.000000,0.000252,-0.005035,-0.005255,0.007282,0.050,1.000000
1.0,2026082404.000000,28.000000,4.000000,906.000000,72.000000,93.000000,0.000000,0.000000,-0.010550,-0.027353,-0.003872,0.029572,0.050,1.000000
1.0,2026082404.000000,28.000000,4.000000,912.000000,2.000000,94.000000,0.000000,45.000000,0.003196,-0.012178,-0.005255,0.013643,0.050,1.000000
1.0,2026082404.000000,28.000000,4.000000,913.000000,3.000000,95.000000,0.000000,90.000000,0.010734,-0.020035,-0.004421,0.023155,0.050,1.000000
1.0,2026082404.000000,28.000000,4.000000,914.000000,4.000000,96.000000,0.000000,135.000000,0.026704,-0.023054,-0.004422,0.035555,0.050,1.000000
