schema_version,campaign_id,stage_mode,attempt_id,next_global_seq,abs_b_deg,abs_c_deg,acquisition_try,pass_id,contact_id,prior_ready_raw_count,prior_ready_mux_count,prior_ready_gated_count,current_pre_raw_count,current_pre_mux_count,current_pre_gated_count,gap_raw_delta,gap_mux_delta,gap_gated_delta,prior_contact_extra_delta,combined_extra_delta,burst_flag,consistency_fault,initial_baseline
1.0,2026082601.000000,31.000000,2.000000,15.000000,-45.000000,0.000000,1.000000,1.000000,1.000000,622.000000,622.000000,118.000000,622.000000,622.000000,118.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1.0,2026082601.000000,31.000000,2.000000,15.000000,-45.000000,0.000000,1.000000,1.000000,2.000000,623.000000,623.000000,119.000000,623.000000,623.000000,119.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0,2026082601.000000,31.000000,2.000000,15.000000,-45.000000,0.000000,1.000000,1.000000,3.000000,624.000000,624.000000,120.000000,624.000000,624.000000,120.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0,2026082601.000000,31.000000,2.000000,15.000000,-45.000000,0.000000,1.000000,1.000000,4.000000,625.000000,625.000000,121.000000,625.000000,625.000000,121.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0,2026082601.000000,31.000000,2.000000,15.000000,-45.000000,0.000000,1.000000,2.000000,1.000000,626.000000,626.000000,122.000000,626.000000,626.000000,122.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0,2026082601.000000,31.000000,2.000000,15.000000,-45.000000,0.000000,1.000000,2.000000,2.000000,627.000000,627.000000,123.000000,627.000000,627.000000,123.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0,2026082601.000000,31.000000,2.000000,15.000000,-45.000000,0.000000,1.000000,2.000000,3.000000,628.000000,628.000000,124.000000,628.000000,628.000000,124.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0,2026082601.000000,31.000000,2.000000,15.000000,-45.000000,0.000000,1.000000,2.000000,4.000000,629.000000,629.000000,125.000000,629.000000,629.000000,125.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0,2026082601.000000,31.000000,2.000000,16.000000,0.000000,0.000000,1.000000,1.000000,1.000000,630.000000,630.000000,126.000000,630.000000,630.000000,126.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.0,2026082601.000000,31.000000,2.000000,16.000000,0.000000,0.000000,1.000000,1.000000,2.000000,631.000000,631.000000,127.000000,631.000000,631.000000,127.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
