schema_version,campaign_id,stage_mode,attempt_id,sample_seq,model_id,expected_model_id,configured,valid,fault_code,q,evaluated_b_deg,evaluated_c_deg,evaluated_length_mm,diff_offset_x_mm,diff_offset_y_mm,diff_offset_z_mm,diff_offset_norm_mm,empirical_offset_x_mm,empirical_offset_y_mm,empirical_offset_z_mm,empirical_offset_norm_mm
1.0,2026082701.000000,40.000000,6.000000,10.000000,2026082601.000000,2026082601.000000,1.000000,1.000000,0.000000,0.000000,5.000000,0.000000,229.407000,0.000000,0.000000,0.000000,0.000000,-0.004723,0.011136,0.002772,0.012410
1.0,2026082701.000000,40.000000,6.000000,11.000000,2026082601.000000,2026082601.000000,1.000000,1.000000,0.000000,0.000000,5.000000,45.000000,229.407000,0.000000,0.000000,0.000000,0.000000,0.000764,0.019197,0.007183,0.020512
1.0,2026082701.000000,40.000000,6.000000,12.000000,2026082601.000000,2026082601.000000,1.000000,1.000000,0.000000,0.000000,5.000000,90.000000,229.407000,0.000000,0.000000,0.000000,0.000000,0.019924,-0.007741,0.002891,0.021569
1.0,2026082701.000000,40.000000,6.000000,13.000000,2026082601.000000,2026082601.000000,1.000000,1.000000,0.000000,0.000000,5.000000,180.000000,229.407000,0.000000,0.000000,0.000000,0.000000,0.049057,-0.086008,-0.018182,0.100670
1.0,2026082701.000000,40.000000,6.000000,14.000000,2026082601.000000,2026082601.000000,1.000000,1.000000,0.000000,0.000000,5.000000,225.000000,229.407000,0.000000,0.000000,0.000000,0.000000,0.047433,-0.100275,-0.022530,0.113192
1.0,2026082701.000000,40.000000,6.000000,15.000000,2026082601.000000,2026082601.000000,1.000000,1.000000,0.000000,0.000000,5.000000,270.000000,229.407000,0.000000,0.000000,0.000000,0.000000,0.032143,-0.079554,-0.018175,0.087706
1.0,2026082701.000000,40.000000,6.000000,16.000000,2026082601.000000,2026082601.000000,1.000000,1.000000,0.000000,0.000000,5.000000,0.000000,229.407000,0.000000,0.000000,0.000000,0.000000,-0.004723,0.011136,0.002772,0.012410
1.0,2026082701.000000,40.000000,6.000000,17.000000,2026082601.000000,2026082601.000000,1.000000,1.000000,0.000000,0.000000,-5.000000,0.000000,229.407000,0.000000,0.000000,0.000000,0.000000,0.003128,-0.006563,-0.005478,0.009103
1.0,2026082701.000000,40.000000,6.000000,18.000000,2026082601.000000,2026082601.000000,1.000000,1.000000,0.000000,0.000000,-5.000000,45.000000,229.407000,0.000000,0.000000,0.000000,0.000000,0.009748,-0.047464,-0.017141,0.051397
1.0,2026082701.000000,40.000000,6.000000,19.000000,2026082601.000000,2026082601.000000,1.000000,1.000000,0.000000,0.000000,-5.000000,90.000000,229.407000,0.000000,0.000000,0.000000,0.000000,0.022352,-0.095858,-0.030248,0.102973
1.0,2026082701.000000,40.000000,6.000000,20.000000,2026082601.000000,2026082601.000000,1.000000,1.000000,0.000000,0.000000,-5.000000,180.000000,229.407000,0.000000,0.000000,0.000000,0.000000,0.040100,-0.125761,-0.032809,0.136016
1.0,2026082701.000000,40.000000,6.000000,21.000000,2026082601.000000,2026082601.000000,1.000000,1.000000,0.000000,0.000000,-5.000000,225.000000,229.407000,0.000000,0.000000,0.000000,0.000000,0.030187,-0.073083,-0.022069,0.082094
1.0,2026082701.000000,40.000000,6.000000,22.000000,2026082601.000000,2026082601.000000,1.000000,1.000000,0.000000,0.000000,-5.000000,270.000000,229.407000,0.000000,0.000000,0.000000,0.000000,0.014285,-0.012891,-0.009887,0.021633
1.0,2026082701.000000,40.000000,6.000000,23.000000,2026082601.000000,2026082601.000000,1.000000,1.000000,0.000000,0.000000,-5.000000,0.000000,229.407000,0.000000,0.000000,0.000000,0.000000,0.003128,-0.006563,-0.005478,0.009103
