campaign_id,attempt_id,sample_seq,abs_b_deg,abs_c_deg,pose_multiplicity,fit_weight,center_abs_x_mm,center_abs_y_mm,center_abs_z_mm,current_residual_x_mm,current_residual_y_mm,current_residual_z_mm,current_residual_norm_mm,candidate_delta_x_mm,candidate_delta_y_mm,candidate_delta_z_mm,candidate_delta_norm_mm,candidate_center_x_mm,candidate_center_y_mm,candidate_center_z_mm,candidate_residual_x_mm,candidate_residual_y_mm,candidate_residual_z_mm,candidate_residual_norm_mm
2026082404,1,50,-15.000000,270.000000,1,1.000000000,1025.109807000,843.921178000,-302.438413000,0.017674159,-0.139889416,0.006920776,0.141171250,0.025227651,0.057504647,-0.042292300,0.075709031,1025.135034651,843.978682647,-302.480705300,0.013004639,-0.084925509,-0.011861447,0.086730367
2026082404,1,51,-15.000000,0.000000,2,0.500000000,1025.209211000,844.049241000,-302.458862000,0.117078159,-0.011826416,-0.013528224,0.118449028,-0.009391119,0.013130341,-0.016904460,0.023374339,1025.199819881,844.062371341,-302.475766460,0.077789869,-0.001236815,-0.006922607,0.078107080
2026082404,1,52,30.000000,0.000000,2,0.500000000,1025.195314000,844.025207000,-302.522207000,0.103181159,-0.035860416,-0.076873224,0.133573252,-0.028429183,0.089922158,0.029292241,0.098753472,1025.166884817,844.115129158,-302.492914759,0.044854805,0.051521003,-0.024070907,0.072427728
2026082404,1,53,30.000000,90.000000,1,1.000000000,1025.101691000,844.068523000,-302.471360000,0.009558159,0.007455584,-0.026026224,0.028710773,0.014269961,-0.013676482,0.004121752,0.020190760,1025.115960961,844.054846518,-302.467238248,-0.006069051,-0.008761638,0.001605604,0.010778573
2026082404,1,54,30.000000,180.000000,1,1.000000000,1025.032698000,844.240888000,-302.451692000,-0.059434841,0.179820584,-0.006358224,0.189495039,0.124431763,-0.078705958,-0.006796839,0.147390938,1025.157129763,844.162182042,-302.458488839,0.035099751,0.098573886,0.010355014,0.105147658
2026082404,1,55,30.000000,270.000000,1,1.000000000,1024.962686000,844.115922000,-302.480426000,-0.129446841,0.054854584,-0.035092224,0.144903327,0.123100728,0.019856770,0.005394031,0.124808558,1025.085786728,844.135778770,-302.475031969,-0.036243284,0.072170614,-0.006188116,0.080996703
2026082404,1,56,30.000000,0.000000,2,0.500000000,1025.210604000,844.020464000,-302.527313000,0.118471159,-0.040603416,-0.081979224,0.149681816,-0.028429183,0.089922158,0.029292241,0.098753472,1025.182174817,844.110386158,-302.498020759,0.060144805,0.046778003,-0.029176907,0.081589650
2026082404,1,57,-30.000000,0.000000,2,0.500000000,1025.201282000,844.063885000,-302.449114000,0.109149159,0.002817584,-0.003780224,0.109250940,-0.028228765,0.050335138,-0.033385634,0.066671507,1025.173053235,844.114220138,-302.482499634,0.051023223,0.050611983,-0.013655781,0.073153417
2026082404,1,58,-30.000000,90.000000,1,1.000000000,1025.095751000,844.148043000,-302.440982000,0.003618159,0.086975584,0.004351776,0.087159516,0.026216074,-0.069762389,-0.052483776,0.091151633,1025.121967074,844.078280611,-302.493465776,-0.000062938,0.014672455,-0.024621923,0.028662240
2026082404,1,59,-30.000000,180.000000,1,1.000000000,1025.041698000,844.215989000,-302.426366000,-0.050434841,0.154921584,0.018967776,0.164024836,0.124680660,-0.118403676,-0.069464227,0.185445346,1025.166378660,844.097585324,-302.495830227,0.044348648,0.033977168,-0.026986374,0.062044459
2026082404,1,60,-30.000000,270.000000,1,1.000000000,1025.142619000,843.745641000,-302.408980000,0.050486159,-0.315426416,0.036353776,0.321503146,0.021675466,0.222650294,-0.075734154,0.236175023,1025.164294466,843.968291294,-302.484714154,0.042264454,-0.095316862,-0.015870302,0.105467790
2026082404,1,61,-30.000000,0.000000,2,0.500000000,1025.198051000,844.058006000,-302.457939000,0.105918159,-0.003061416,-0.012605224,0.106709514,-0.028228765,0.050335138,-0.033385634,0.066671507,1025.169822235,844.108341138,-302.491324634,0.047792223,0.044732983,-0.022480781,0.069213596
2026082404,1,62,45.000000,0.000000,2,0.500000000,1025.278366000,843.950107000,-302.479414000,0.186233159,-0.110960416,-0.034080224,0.219445814,-0.037913683,0.121497123,0.041591020,0.133898510,1025.240452317,844.071604123,-302.437822980,0.118422305,0.007995967,0.031020872,0.122678737
2026082404,1,63,45.000000,90.000000,1,1.000000000,1025.102862000,843.963597000,-302.455437000,0.010729159,-0.097470416,-0.010103224,0.098578253,0.018341726,0.054386176,0.002961709,0.057472139,1025.121203726,844.017983176,-302.452475291,-0.000826286,-0.045624980,0.016368562,0.048479391
2026082404,1,64,45.000000,180.000000,1,1.000000000,1024.888086000,844.184042000,-302.490305000,-0.204046841,0.122974584,-0.044971224,0.242446432,0.153627133,-0.063451775,0.001989349,0.166226897,1025.041713133,844.120590225,-302.488315651,-0.080316879,0.056982069,-0.019471798,0.100383805
2026082404,1,65,45.000000,270.000000,1,1.000000000,1024.933133000,843.967470000,-302.496360000,-0.158999841,-0.093597416,-0.051026224,0.191429102,0.153098961,0.079879530,0.007461051,0.172845880,1025.086231961,844.047349530,-302.488898949,-0.035798051,-0.016258625,-0.020055097,0.044136723
2026082404,1,66,45.000000,0.000000,2,0.500000000,1025.279440000,843.952837000,-302.478434000,0.187307159,-0.108230416,-0.033100224,0.218845652,-0.037913683,0.121497123,0.041591020,0.133898510,1025.241526317,844.074334123,-302.436842980,0.119496305,0.010725967,0.032000872,0.124171129
2026082404,1,67,-45.000000,0.000000,2,0.500000000,1025.118160000,844.041985000,-302.442946000,0.026027159,-0.019082416,0.002387776,0.032361290,-0.037630248,0.065512622,-0.047048880,0.089003013,1025.080529752,844.107497622,-302.489994880,-0.041500260,0.043889467,-0.021151027,0.063999397
2026082404,1,68,-45.000000,90.000000,1,1.000000000,1025.069365000,844.039964000,-302.401566000,-0.022767841,-0.021103416,0.043767776,0.053659547,0.035236082,-0.024931275,-0.077090595,0.088352192,1025.104601082,844.015032725,-302.478656595,-0.017428930,-0.048575430,-0.009812743,0.052532180
2026082404,1,69,-45.000000,180.000000,1,1.000000000,1025.069565000,844.179473000,-302.354290000,-0.022567841,0.118405584,0.091043776,0.151056807,0.153979126,-0.119592827,-0.086635721,0.213348924,1025.223544126,844.059880173,-302.440925721,0.101514114,-0.003727982,0.027918132,0.105349111
2026082404,1,70,-45.000000,270.000000,1,1.000000000,1025.151792000,843.518070000,-302.329221000,0.059659159,-0.542997416,0.116112776,0.558468966,0.009661979,0.366672883,-0.107271529,0.382164281,1025.161453979,843.884742883,-302.436492529,0.039423967,-0.178865273,0.032351323,0.185993664
2026082404,1,71,-45.000000,0.000000,2,0.500000000,1025.121915000,844.041353000,-302.443993000,0.029782159,-0.019714416,0.001340776,0.035741193,-0.037630248,0.065512622,-0.047048880,0.089003013,1025.084284752,844.106865622,-302.491041880,-0.037745260,0.043257467,-0.022198027,0.061552137
2026082404,1,72,0.000000,0.000000,5,0.200000000,1025.027500000,844.054272000,-302.503493000,-0.064632841,-0.006795416,-0.058159224,0.087212826,0.000000000,0.000000000,0.000000000,0.000000000,1025.027500000,844.054272000,-302.503493000,-0.094530012,-0.009336155,-0.034649147,0.101112068
2026082404,1,73,60.000000,0.000000,2,0.500000000,1025.127745000,843.897345000,-302.499083000,0.035612159,-0.163722416,-0.053749224,0.175960889,-0.028502542,0.104412040,0.052233930,0.120177587,1025.099242458,844.001757040,-302.446849070,-0.022787554,-0.061851116,0.021994782,0.069488154
2026082404,1,74,60.000000,90.000000,1,1.000000000,1025.086003000,843.869443000,-302.467438000,-0.006129841,-0.191624416,-0.022104224,0.192992457,0.004984983,0.154328877,-0.001351150,0.154415277,1025.090987983,844.023771877,-302.468789150,-0.031042029,-0.039836279,0.000054702,0.050502868
2026082404,1,75,60.000000,180.000000,1,1.000000000,1024.836410000,844.172880000,-302.488922000,-0.255722841,0.111812584,-0.043588224,0.282482138,0.124340660,-0.064175558,0.016141012,0.140853237,1024.960750660,844.108704442,-302.472780988,-0.161279352,0.045096287,-0.003937135,0.167511807
2026082404,1,76,60.000000,270.000000,1,1.000000000,1024.852197000,843.859816000,-302.498676000,-0.239935841,-0.201251416,-0.053342224,0.317673941,0.155312554,0.093105680,0.008897045,0.181300344,1025.007509554,843.952921680,-302.489778955,-0.114520458,-0.110686475,-0.020935103,0.160638444
2026082404,1,77,60.000000,0.000000,2,0.500000000,1025.133393000,843.898307000,-302.511014000,0.041260159,-0.162760416,-0.065680224,0.180297658,-0.028502542,0.104412040,0.052233930,0.120177587,1025.104890458,844.002719040,-302.458780070,-0.017139554,-0.060889116,0.010063782,0.064050983
2026082404,1,78,-60.000000,0.000000,2,0.500000000,1025.075883000,844.069402000,-302.370857000,-0.016249841,0.008334584,0.074476776,0.076683198,-0.028155407,0.035845310,-0.056327333,0.072459517,1025.047727593,844.105247310,-302.427184333,-0.074302419,0.041639155,0.041659520,0.094816583
2026082404,1,79,-60.000000,90.000000,1,1.000000000,1025.020205000,843.949544000,-302.345623000,-0.071927841,-0.111523416,0.099710776,0.165991944,0.025676258,0.057185236,-0.099394800,0.117510628,1025.045881258,844.006729236,-302.445017800,-0.076148754,-0.056878919,0.023826053,0.097987372
2026082404,1,80,-60.000000,180.000000,1,1.000000000,1024.897853000,844.169961000,-302.316979000,-0.194279841,0.108893584,0.128354776,0.257055282,0.124771761,-0.132934023,-0.092402088,0.204395677,1025.022624761,844.037026977,-302.409381088,-0.099405251,-0.026581178,0.059462765,0.118843524
2026082404,1,81,-60.000000,270.000000,1,1.000000000,1025.158067000,843.391105000,-302.282069000,0.065934159,-0.669962416,0.163264776,0.692713750,-0.020361153,0.444354368,-0.131621094,0.463885215,1025.137705847,843.835459368,-302.413690094,0.015675835,-0.228148788,0.055153758,0.235243572
2026082404,1,82,-60.000000,0.000000,2,0.500000000,1025.073473000,844.068450000,-302.368823000,-0.018659841,0.007382584,0.076510776,0.079098616,-0.028155407,0.035845310,-0.056327333,0.072459517,1025.045317593,844.104295310,-302.425150333,-0.076712419,0.040687155,0.043693520,0.097207837
2026082404,1,83,90.000000,0.000000,2,0.500000000,1025.165619000,843.899111000,-302.452784000,0.073486159,-0.161956416,-0.007450224,0.178004500,-0.000200421,0.039587094,0.062677861,0.074132937,1025.165418579,843.938698094,-302.390106139,0.043388567,-0.124910062,0.078737714,0.153898404
2026082404,1,84,90.000000,90.000000,1,1.000000000,1025.192015000,843.559589000,-302.493462000,0.099882159,-0.501478416,-0.048128224,0.513588720,-0.029362113,0.386050205,-0.025011631,0.387972262,1025.162652887,843.945639205,-302.518473631,0.040622875,-0.117968951,-0.049629778,0.134275858
2026082404,1,85,90.000000,180.000000,1,1.000000000,1025.166337000,844.079006000,-302.449916000,0.074204159,0.017938584,-0.004582224,0.076479061,0.036566559,-0.079954549,0.037114797,0.095432443,1025.202903559,843.999051451,-302.412801203,0.080873547,-0.064556704,0.056042650,0.117681253
2026082404,1,86,90.000000,270.000000,1,1.000000000,1025.009498000,843.789042000,-302.473880000,-0.082634841,-0.272025416,-0.028546224,0.285729296,0.128814885,0.153416376,-0.005922783,0.200411922,1025.138312885,843.942458376,-302.479802783,0.016282873,-0.121149780,-0.010958930,0.122729374
2026082404,1,87,90.000000,0.000000,2,0.500000000,1025.155968000,843.906839000,-302.459507000,0.063835159,-0.154228416,-0.014173224,0.167517796,-0.000200421,0.039587094,0.062677861,0.074132937,1025.155767579,843.946426094,-302.396829139,0.033737567,-0.117182062,0.072014714,0.141619130
2026082404,1,88,-90.000000,0.000000,2,0.500000000,1025.135447000,844.072844000,-302.252879000,0.043314159,0.011776584,0.192454776,0.197619952,0.000200416,-0.039586946,-0.062677887,0.074132881,1025.135647416,844.033257054,-302.315556887,0.013617404,-0.030351102,0.153286965,0.156855082
2026082404,1,89,-90.000000,90.000000,1,1.000000000,1025.172040000,843.706646000,-302.234532000,0.079907159,-0.354421416,0.210801776,0.420044144,-0.005469887,0.273878391,-0.138222686,0.306830252,1025.166570113,843.980524391,-302.372754686,0.044540101,-0.083083765,0.096089167,0.134610031
2026082404,1,90,-90.000000,180.000000,1,1.000000000,1025.175032000,844.287392000,-302.172910000,0.082899159,0.226324584,0.272423776,0.363744143,0.037064352,-0.159349985,-0.088219979,0.185873475,1025.212096352,844.128042015,-302.261129979,0.090066340,0.064433859,0.207713873,0.235390571
2026082404,1,91,-90.000000,270.000000,1,1.000000000,1025.225693000,843.397273000,-302.232117000,0.133560159,-0.663794416,0.213216776,0.709875155,-0.074035639,0.559003424,-0.168179153,0.588430397,1025.151657361,843.956276424,-302.400296153,0.029627349,-0.107331731,0.068547700,0.130754225
2026082404,1,92,-90.000000,0.000000,2,0.500000000,1025.137671000,844.072028000,-302.258823000,0.045538159,0.010960584,0.186510776,0.192302179,0.000200416,-0.039586946,-0.062677887,0.074132881,1025.137871416,844.032441054,-302.321500887,0.015841404,-0.031167102,0.147342965,0.151434104
2026082404,1,93,0.000000,0.000000,5,0.200000000,1025.014922000,844.047862000,-302.503323000,-0.077210841,-0.013205416,-0.057989224,0.097461002,0.000000000,0.000000000,0.000000000,0.000000000,1025.014922000,844.047862000,-302.503323000,-0.107108012,-0.015746155,-0.034479147,0.113617249
2026082404,1,94,0.000000,45.000000,2,0.500000000,1025.066396000,844.055733000,-302.495324000,-0.025736841,-0.005334416,-0.049990224,0.056478876,-0.010449681,-0.026801901,-0.001820947,0.028824531,1025.055946319,844.028931099,-302.497144947,-0.066083693,-0.034677057,-0.028301094,0.079815441
2026082404,1,95,0.000000,90.000000,2,0.500000000,1025.104352000,844.103839000,-302.480657000,0.012219159,0.042771584,-0.035323224,0.056801817,-0.003995083,-0.072948971,-0.010059384,0.073747572,1025.100356917,844.030890029,-302.490716384,-0.021673095,-0.032718127,-0.021872532,0.044928905
2026082404,1,96,0.000000,135.000000,2,0.500000000,1025.115528000,844.175721000,-302.463491000,0.023395159,0.114653584,-0.018157224,0.118416480,0.015582779,-0.111408883,-0.019889348,0.114238121,1025.131110779,844.064312117,-302.483380348,0.009080767,0.000703962,-0.014536495,0.017154171
2026082404,1,97,0.000000,180.000000,2,0.500000000,1025.161521000,844.235278000,-302.457158000,0.069388159,0.174210584,-0.011824224,0.187893205,0.036815458,-0.119652341,-0.025552578,0.127769303,1025.198336458,844.115625659,-302.482710578,0.076306446,0.052017504,-0.013866725,0.093385119
2026082404,1,98,0.000000,225.000000,2,0.500000000,1025.119807000,844.268341000,-302.459991000,0.027674159,0.207273584,-0.014657224,0.209625934,0.047265139,-0.092850439,-0.023731631,0.106856857,1025.167072139,844.175490561,-302.483722631,0.045042127,0.111882405,-0.014878779,0.121523018
2026082404,1,99,0.000000,270.000000,2,0.500000000,1025.076069000,844.197707000,-302.471991000,-0.016063841,0.136639584,-0.026657224,0.140139325,0.040810541,-0.046703369,-0.015493194,0.063927646,1025.116879541,844.151003631,-302.487484194,-0.005150471,0.087395475,-0.018640341,0.089509546
2026082404,1,100,0.000000,315.000000,2,0.500000000,1025.023964000,844.144903000,-302.490658000,-0.068168841,0.083835584,-0.045324224,0.117173723,0.021232679,-0.008243458,-0.005663230,0.023470267,1025.045196679,844.136659542,-302.496321230,-0.076833333,0.073051387,-0.027477378,0.109521105
2026082404,1,101,0.000000,0.000000,5,0.200000000,1025.007919000,844.055749000,-302.501825000,-0.084213841,-0.005318416,-0.056491224,0.101545630,0.000000000,0.000000000,0.000000000,0.000000000,1025.007919000,844.055749000,-302.501825000,-0.114111012,-0.007859155,-0.032981147,0.119041360
