abs_b_deg,abs_c_deg,point_id,touch_abs_x_mm,touch_abs_y_mm,touch_abs_z_mm
15.000000,0.000000,1.000000,220.246414,352.916396,-274.363298
15.000000,0.000000,2.000000,209.165779,352.916396,-295.828038
15.000000,0.000000,3.000000,243.784183,352.916396,-286.552065
15.000000,0.000000,4.000000,224.870337,334.976096,-291.620014
15.000000,0.000000,5.000000,224.870337,370.757530,-291.620014
15.000000,0.000000,1.000000,221.825772,352.916396,-273.856262
15.000000,0.000000,2.000000,209.145725,352.916396,-295.749563
15.000000,0.000000,3.000000,243.762519,352.916396,-286.474021
15.000000,0.000000,4.000000,226.449695,334.900263,-291.112978
15.000000,0.000000,5.000000,226.449695,370.840030,-291.112978
15.000000,0.000000,1.000000,221.825620,352.916396,-273.855695
15.000000,0.000000,2.000000,209.145573,352.916396,-295.748995
15.000000,0.000000,3.000000,243.762367,352.916396,-286.473453
15.000000,0.000000,4.000000,226.449543,334.900263,-291.112411
15.000000,0.000000,5.000000,226.449543,370.838363,-291.112411
