abs_b_deg,abs_c_deg,pass_num,accepted,probe_tool_number,calibration_offset,center_abs_x_mm,center_abs_y_mm,center_abs_z_mm,u_center_error_mm,v_center_error_mm,u_raw_span_mm,v_raw_span_mm,u_corr_diam_mm,v_corr_diam_mm
5.000000,-20.000000,2.000000,1.000000,3.000000,0.134533,305.351646,326.093822,-859.672223,-0.004783,0.000786,35.876961,35.940146,30.146027,30.209212
-5.000000,20.000000,1.000000,0.000000,3.000000,0.134533,305.325974,326.033913,-859.706392,-0.077898,-0.092388,35.967491,35.935370,30.236557,30.204436
-5.000000,20.000000,2.000000,1.000000,3.000000,0.134533,305.305792,325.978724,-859.702261,-0.001709,0.002171,35.962494,35.942391,30.231560,30.211457
-5.000000,-20.000000,1.000000,0.000000,3.000000,0.134533,305.334838,326.046162,-859.705618,0.011460,0.146633,36.020134,35.966979,30.289200,30.236045
-5.000000,-20.000000,2.000000,1.000000,3.000000,0.134533,305.364099,326.110987,-859.707714,-0.002291,-0.004955,36.024303,35.967136,30.293369,30.236202
0.000000,0.000000,1.000000,0.000000,3.000000,0.134533,305.375647,326.062661,-859.681885,0.023385,-0.096664,36.030786,35.942267,30.299852,30.211333
0.000000,0.000000,1.000000,0.000000,3.000000,0.134533,305.473011,326.039708,-859.681886,-0.186603,-0.049585,36.030761,35.939767,30.299827,30.208833
0.000000,0.000000,2.000000,1.000000,3.000000,0.134533,305.380007,326.015746,-859.683718,0.001314,0.001667,36.033261,35.942263,30.302327,30.211329
5.000000,20.000000,1.000000,0.000000,3.000000,0.134533,305.363531,325.958240,-859.671243,-0.071421,-0.097778,35.937192,35.933143,30.206258,30.202209
5.000000,20.000000,2.000000,1.000000,3.000000,0.134533,305.344825,325.898723,-859.676227,-0.000556,-0.002869,35.929815,35.937330,30.198881,30.206396
5.000000,-20.000000,1.000000,0.000000,3.000000,0.134533,305.331320,325.993017,-859.666092,-0.087360,0.167869,35.865449,35.936311,30.134515,30.205377
5.000000,-20.000000,2.000000,1.000000,3.000000,0.134533,305.318351,326.086717,-859.668340,0.000140,-0.000381,35.867116,35.936145,30.136182,30.205211
-5.000000,20.000000,1.000000,0.000000,3.000000,0.134533,305.296206,326.025053,-859.698793,-0.083598,-0.102334,35.971163,35.936087,30.240229,30.205153
0.000000,0.000000,1.000000,0.000000,3.000000,0.134533,305.469344,326.037001,-859.677718,-0.193838,-0.054998,36.034952,35.942267,30.304018,30.211333
0.000000,0.000000,2.000000,1.000000,3.000000,0.134533,305.372005,326.007416,-859.679552,-0.001246,-0.004167,36.034768,35.950605,30.303834,30.219671
5.000000,20.000000,1.000000,0.000000,3.000000,0.134533,305.358520,325.950695,-859.663402,-0.068416,-0.093953,35.930305,35.934491,30.199371,30.203557
5.000000,20.000000,2.000000,1.000000,3.000000,0.134533,305.346553,325.895988,-859.657469,0.002569,0.001138,35.931719,35.929309,30.200785,30.198375
5.000000,-20.000000,1.000000,0.000000,3.000000,0.134533,305.333357,325.986400,-859.659714,-0.088283,0.160786,35.875294,35.937145,30.144360,30.206211
5.000000,-20.000000,2.000000,1.000000,3.000000,0.134533,305.322941,326.075048,-859.658039,0.006472,-0.000964,35.865783,35.933645,30.134849,30.202711
-5.000000,20.000000,1.000000,0.000000,3.000000,0.134533,305.285955,326.013989,-859.688966,-0.116361,-0.088300,35.970099,35.936136,30.239165,30.205202
-5.000000,20.000000,2.000000,1.000000,3.000000,0.134533,305.246589,325.950705,-859.692522,0.001530,-0.002834,35.971056,35.938224,30.240122,30.207290
-5.000000,-20.000000,1.000000,0.000000,3.000000,0.134533,305.280860,326.024625,-859.696266,0.015623,0.162466,36.040479,35.961979,30.309545,30.231045
-5.000000,-20.000000,2.000000,1.000000,3.000000,0.134533,305.312992,326.099142,-859.696032,-0.007631,-0.000450,36.032305,35.962812,30.301371,30.231878
0.000000,0.000000,1.000000,0.000000,3.000000,0.134533,305.337679,326.053947,-859.676199,0.049343,-0.090416,36.042268,35.939808,30.311334,30.208874
0.000000,0.000000,2.000000,1.000000,3.000000,0.134533,305.360875,326.008084,-859.677200,-0.005480,-0.001259,36.034608,35.939808,30.303674,30.208874
0.000000,0.000000,1.000000,0.000000,3.000000,0.134533,305.358213,326.006585,-859.676533,-0.012693,-0.004185,36.037555,35.942272,30.306621,30.211338
0.000000,0.000000,2.000000,1.000000,3.000000,0.134533,305.350768,326.004080,-859.677533,-0.001603,-0.000835,36.035441,35.938934,30.304507,30.208000
5.000000,20.000000,1.000000,0.000000,3.000000,0.134533,305.340389,325.947245,-859.657497,-0.065286,-0.097038,35.938016,35.927302,30.207082,30.196368
5.000000,20.000000,2.000000,1.000000,3.000000,0.134533,305.328932,325.892140,-859.654215,0.000522,0.002709,35.943971,35.931149,30.213037,30.200215
5.000000,-20.000000,1.000000,0.000000,3.000000,0.134533,305.319211,325.981775,-859.657607,-0.078191,0.161702,35.878812,35.931979,30.147878,30.201045
5.000000,-20.000000,2.000000,1.000000,3.000000,0.134533,305.307591,326.070461,-859.654168,-0.002265,-0.003047,35.880294,35.931145,30.149360,30.200211
-5.000000,20.000000,1.000000,0.000000,3.000000,0.134533,305.271946,326.008142,-859.686662,-0.114297,-0.091192,35.964353,35.932548,30.233419,30.201614
-5.000000,20.000000,2.000000,1.000000,3.000000,0.134533,305.232757,325.944382,-859.686917,-0.001357,-0.000251,35.966652,35.939116,30.235718,30.208182
-5.000000,-20.000000,1.000000,0.000000,3.000000,0.134533,305.262428,326.018202,-859.696896,0.002289,0.159133,36.018812,35.965312,30.287878,30.234378
-5.000000,-20.000000,2.000000,1.000000,3.000000,0.134533,305.290755,326.093218,-859.694480,-0.001381,0.001216,36.019486,35.964479,30.288552,30.233545
0.000000,0.000000,1.000000,0.000000,3.000000,0.134533,305.313263,326.047627,-859.672981,0.046907,-0.091222,36.031820,35.938105,30.300886,30.207171
0.000000,0.000000,2.000000,1.000000,3.000000,0.134533,305.334907,326.000788,-859.672313,-0.001219,-0.002477,36.034608,35.942254,30.303674,30.211320
0.000000,0.000000,1.000000,0.000000,3.000000,0.134533,305.417077,326.025960,-859.541825,-0.298260,-0.077083,36.030601,35.933101,30.299667,30.202167
0.000000,0.000000,2.000000,1.000000,3.000000,0.134533,305.268266,325.988252,-859.539492,0.000490,0.001667,36.033101,35.942267,30.302167,30.211333
5.000000,20.000000,1.000000,0.000000,3.000000,0.134533,305.267126,325.927761,-859.520125,-0.048077,-0.110957,35.935418,35.925150,30.204484,30.194216
5.000000,20.000000,2.000000,1.000000,3.000000,0.134533,305.261270,325.866835,-859.516433,0.000171,-0.002540,35.933723,35.927311,30.202789,30.196377
5.000000,-20.000000,1.000000,0.000000,3.000000,0.134533,305.254533,325.971923,-859.519605,-0.086028,0.192869,35.876152,35.927646,30.145218,30.196712
5.000000,-20.000000,2.000000,1.000000,3.000000,0.134533,305.246945,326.077543,-859.515161,0.000559,0.000286,35.881311,35.934479,30.150377,30.203545
-5.000000,20.000000,1.000000,0.000000,3.000000,0.134533,305.197891,325.995050,-859.551259,-0.159486,-0.124316,35.969023,35.931926,30.238089,30.200992
-5.000000,20.000000,2.000000,1.000000,3.000000,0.134533,305.144415,325.908703,-859.556671,-0.002062,-0.001216,35.971446,35.937396,30.240512,30.206462
-5.000000,-20.000000,1.000000,0.000000,3.000000,0.134533,305.176703,326.009547,-859.562229,-0.010535,0.211711,36.019461,35.963801,30.288527,30.232867
-5.000000,-20.000000,2.000000,1.000000,3.000000,0.134533,305.207535,326.111267,-859.562084,-0.003464,0.000539,36.025270,35.962812,30.294336,30.231878
0.000000,0.000000,1.000000,0.000000,3.000000,0.134533,305.234427,326.049200,-859.535583,0.056601,-0.124177,36.033261,35.944001,30.302327,30.213067
0.000000,0.000000,2.000000,1.000000,3.000000,0.134533,305.263238,325.987778,-859.544085,0.001730,0.001250,36.032173,35.943054,30.301239,30.212120
0.000000,0.000000,1.000000,0.000000,3.000000,0.134533,305.507730,326.028023,-859.707329,-0.116733,-0.072958,36.029759,35.942209,30.298825,30.211275
0.000000,0.000000,2.000000,1.000000,3.000000,0.134533,305.450007,325.992402,-859.699500,0.001288,0.001717,36.032334,35.942209,30.301400,30.211275
5.000000,20.000000,1.000000,0.000000,3.000000,0.134533,305.458286,325.974435,-859.701127,-0.000742,-0.036254,35.922441,35.944426,30.191507,30.213492
5.000000,20.000000,2.000000,1.000000,3.000000,0.134533,305.464936,325.959556,-859.700184,0.001999,0.006713,35.922776,35.928289,30.191842,30.197355
5.000000,-20.000000,1.000000,0.000000,3.000000,0.134533,305.456626,325.984771,-859.701219,-0.032462,0.042011,35.849362,35.936936,30.118428,30.206002
5.000000,-20.000000,2.000000,1.000000,3.000000,0.134533,305.448309,326.007925,-859.699755,-0.000274,-0.004256,35.850220,35.933337,30.119286,30.202403
-5.000000,20.000000,1.000000,0.000000,3.000000,0.134533,305.410392,326.014946,-859.694721,-0.065682,0.041155,35.975879,35.934297,30.244945,30.203363
-5.000000,20.000000,2.000000,1.000000,3.000000,0.134533,305.373387,326.018621,-859.697447,0.002002,-0.006010,35.976076,35.935298,30.245142,30.204364
-5.000000,-20.000000,1.000000,0.000000,3.000000,0.134533,305.408708,326.023030,-859.708374,0.063386,0.032154,36.050347,35.959945,30.319413,30.229011
-5.000000,-20.000000,2.000000,1.000000,3.000000,0.134533,305.444168,326.027076,-859.705494,-0.001927,-0.000463,36.055337,35.970245,30.324403,30.239311
0.000000,0.000000,1.000000,0.000000,3.000000,0.134533,305.469430,326.015252,-859.699381,0.049738,-0.023582,36.029702,35.937925,30.298768,30.206991
0.000000,0.000000,2.000000,1.000000,3.000000,0.134533,305.495075,326.001775,-859.700136,0.000900,-0.003453,36.031476,35.938772,30.300542,30.207838
0.000000,0.000000,1.000000,0.000000,3.000000,0.134533,305.490054,326.001768,-859.700032,-0.008869,-0.003431,36.032975,35.940500,30.302041,30.209566
0.000000,0.000000,2.000000,1.000000,3.000000,0.134533,305.485755,325.999410,-859.700787,0.000144,-0.001289,36.030079,35.941343,30.299145,30.210409
5.000000,20.000000,1.000000,0.000000,3.000000,0.134533,305.467492,325.984687,-859.703068,-0.044331,-0.016312,35.929371,35.929179,30.198437,30.198245
5.000000,20.000000,2.000000,1.000000,3.000000,0.134533,305.449384,325.968737,-859.700237,0.000910,-0.002776,35.929823,35.930628,30.198889,30.199694
5.000000,-20.000000,1.000000,0.000000,3.000000,0.134533,305.441824,325.987962,-859.700672,-0.029538,0.030853,35.862077,35.928352,30.131143,30.197418
5.000000,-20.000000,2.000000,1.000000,3.000000,0.134533,305.435288,326.008922,-859.700269,0.000572,0.004327,35.865645,35.931620,30.134711,30.200686
-5.000000,20.000000,1.000000,0.000000,3.000000,0.134533,305.397114,326.014158,-859.696088,-0.066572,0.039553,35.968266,35.930777,30.237332,30.199843
-5.000000,20.000000,2.000000,1.000000,3.000000,0.134533,305.359410,326.021280,-859.698838,0.004805,0.000735,35.968708,35.931133,30.237774,30.200199
-5.000000,-20.000000,1.000000,0.000000,3.000000,0.134533,305.393861,326.027603,-859.707310,0.059873,0.035237,36.031304,35.964394,30.300370,30.233460
-5.000000,-20.000000,2.000000,1.000000,3.000000,0.134533,305.426461,326.032401,-859.706415,-0.001848,-0.004247,36.032861,35.962363,30.301927,30.231429
0.000000,0.000000,1.000000,0.000000,3.000000,0.134533,305.465715,326.017190,-859.699444,0.080318,-0.030457,36.024872,35.936193,30.293938,30.205259
0.000000,0.000000,2.000000,1.000000,3.000000,0.134533,305.496302,326.001766,-859.701057,-0.018551,-0.000433,36.029497,35.937890,30.298563,30.206956
