abs_b_deg,abs_c_deg,pass_num,accepted,probe_tool_number,calibration_offset,center_abs_x_mm,center_abs_y_mm,center_abs_z_mm,u_center_error_mm,v_center_error_mm,u_raw_span_mm,v_raw_span_mm,u_corr_diam_mm,v_corr_diam_mm
-30.000000,90.000000,2.000000,1.000000,3.000000,0.134533,357.618472,318.573318,-859.484631,-0.001451,0.000417,35.876637,35.894768,30.145703,30.163834
-30.000000,180.000000,1.000000,0.000000,3.000000,0.134533,357.375330,318.279859,-859.604002,0.300725,0.583228,35.911731,35.938190,30.180797,30.207256
-30.000000,180.000000,2.000000,1.000000,3.000000,0.134533,357.258518,317.988870,-859.517705,-0.008534,-0.001250,35.937470,35.941434,30.206536,30.210500
-30.000000,270.000000,1.000000,0.000000,3.000000,0.134533,357.488965,317.698840,-859.681641,0.339174,0.465044,35.923163,35.934557,30.192229,30.203623
-30.000000,270.000000,2.000000,1.000000,3.000000,0.134533,357.719651,317.557054,-859.586447,0.004869,0.000939,35.933718,35.941701,30.202784,30.210767
0.000000,0.000000,1.000000,0.000000,3.000000,0.134533,357.741109,317.774971,-859.768281,0.042917,0.435833,35.879768,35.933934,30.148834,30.203000
0.000000,0.000000,2.000000,1.000000,3.000000,0.134533,357.763609,317.992887,-859.762614,0.002083,0.000000,35.891434,35.933934,30.160500,30.203000
50.000000,0.000000,1.000000,0.000000,3.000000,0.134533,357.386885,317.868512,-859.728314,-0.534388,-0.248750,35.863685,35.916434,30.132751,30.185500
50.000000,0.000000,2.000000,1.000000,3.000000,0.134533,357.230340,317.744554,-859.511740,-0.000731,0.000833,35.863036,35.930601,30.132102,30.199667
50.000000,90.000000,1.000000,0.000000,3.000000,0.134533,357.482362,317.504552,-859.627368,-0.129846,-0.503333,35.912933,35.892268,30.181999,30.161334
50.000000,90.000000,2.000000,1.000000,3.000000,0.134533,357.734299,317.471760,-859.566104,-0.007305,-0.001250,35.936184,35.896434,30.205250,30.165500
50.000000,180.000000,1.000000,0.000000,3.000000,0.134533,357.932947,317.715520,-859.610015,-0.186353,-0.484679,35.888869,35.946434,30.157935,30.215500
50.000000,180.000000,2.000000,1.000000,3.000000,0.134533,357.982369,317.956903,-859.535556,0.008842,0.003333,35.900557,35.943934,30.169623,30.213000
50.000000,270.000000,1.000000,0.000000,3.000000,0.134533,357.679685,318.604545,-859.651730,-0.652906,-0.613894,35.857861,35.919180,30.126927,30.188246
50.000000,270.000000,2.000000,1.000000,3.000000,0.134533,357.381837,318.796055,-859.386507,0.004989,0.001148,35.864518,35.942514,30.133584,30.211580
-50.000000,0.000000,1.000000,0.000000,3.000000,0.134533,358.022442,318.430222,-859.551118,0.570730,-0.731667,35.896369,35.912267,30.165435,30.181333
-50.000000,0.000000,2.000000,1.000000,3.000000,0.134533,358.184372,318.065222,-859.315161,-0.002695,0.001667,35.914518,35.930601,30.183584,30.199667
-50.000000,90.000000,1.000000,0.000000,3.000000,0.134533,357.850665,318.757851,-859.424448,0.721240,0.664583,35.858890,35.863101,30.127956,30.132167
-50.000000,90.000000,2.000000,1.000000,3.000000,0.134533,357.517748,318.972786,-859.134398,-0.002186,0.001250,35.880536,35.894768,30.149602,30.163834
-50.000000,180.000000,1.000000,0.000000,3.000000,0.134533,357.098085,318.475929,-859.333524,0.233246,1.003625,35.817018,35.936344,30.086084,30.205410
-50.000000,180.000000,2.000000,1.000000,3.000000,0.134533,357.049344,317.976364,-859.222666,0.003014,0.004001,35.864518,35.939768,30.133584,30.208834
-50.000000,270.000000,1.000000,0.000000,3.000000,0.134533,357.369764,317.390569,-859.462012,0.389264,0.653584,35.915351,35.932106,30.184417,30.201172
-50.000000,270.000000,2.000000,1.000000,3.000000,0.134533,357.693105,317.283488,-859.300547,-0.000931,0.005838,35.931833,35.939768,30.200899,30.208834
0.000000,0.000000,1.000000,0.000000,3.000000,0.134533,357.723938,317.636405,-859.781547,0.061667,0.705833,35.880601,35.925601,30.149667,30.194667
0.000000,0.000000,2.000000,1.000000,3.000000,0.134533,357.750604,317.986821,-859.764214,-0.008333,-0.005000,35.888934,35.942267,30.158000,30.211333
0.000000,0.000000,1.000000,0.000000,3.000000,0.134533,357.511244,317.945118,-858.904888,0.000817,-0.007507,35.890954,35.917289,30.160020,30.186355
0.000000,0.000000,2.000000,1.000000,3.000000,0.134533,357.511798,317.945963,-858.907555,0.000850,0.009167,35.887621,35.933934,30.156687,30.203000
0.000000,90.000000,1.000000,0.000000,3.000000,0.134533,357.524295,317.920843,-858.893555,-0.049920,-0.025000,35.953774,35.887268,30.222840,30.156334
0.000000,90.000000,2.000000,1.000000,3.000000,0.134533,357.542419,317.893591,-858.891222,-0.004583,-0.011250,35.956434,35.906434,30.225500,30.175500
0.000000,180.000000,1.000000,0.000000,3.000000,0.134533,357.561481,317.896702,-858.869722,-0.036923,-0.006235,35.858741,35.936430,30.127807,30.205496
0.000000,180.000000,2.000000,1.000000,3.000000,0.134533,357.573564,317.902516,-858.869055,0.013077,-0.005419,35.877141,35.941403,30.146207,30.210469
0.000000,270.000000,1.000000,0.000000,3.000000,0.134533,357.566049,317.933622,-858.880888,-0.063333,-0.015004,35.948294,35.932294,30.217360,30.201360
0.000000,270.000000,2.000000,1.000000,3.000000,0.134533,357.557483,317.964360,-858.881888,-0.000223,-0.002101,35.952780,35.936425,30.221846,30.205491
0.000000,0.000000,1.000000,0.000000,3.000000,0.134533,357.536649,317.957277,-858.902888,-0.041667,-0.014167,35.903934,35.932268,30.173000,30.201334
0.000000,0.000000,2.000000,1.000000,3.000000,0.134533,357.513316,317.948944,-858.906388,-0.005000,-0.002500,35.885601,35.917267,30.154667,30.186333
10.000000,0.000000,1.000000,0.000000,3.000000,0.134533,357.529263,317.946235,-858.889097,0.024789,-0.005417,36.038032,35.924767,30.307098,30.193833
10.000000,0.000000,2.000000,1.000000,3.000000,0.134533,357.540462,317.942902,-858.891275,-0.002385,-0.001250,36.042378,35.926434,30.311444,30.195500
10.000000,90.000000,1.000000,0.000000,3.000000,0.134533,357.538286,317.919602,-858.907652,-0.041135,0.005000,35.948211,35.887268,30.217277,30.156334
10.000000,90.000000,2.000000,1.000000,3.000000,0.134533,357.536202,317.895762,-858.904495,-0.002711,-0.000833,35.941365,35.887267,30.210431,30.156333
10.000000,180.000000,1.000000,0.000000,3.000000,0.134533,357.552548,317.893957,-858.882310,-0.037059,0.004096,36.027041,35.941476,30.296107,30.210542
10.000000,180.000000,2.000000,1.000000,3.000000,0.134533,357.570281,317.889658,-858.877852,0.005814,0.001575,36.026387,35.939767,30.295453,30.208833
10.000000,270.000000,1.000000,0.000000,3.000000,0.134533,357.553497,317.928593,-858.878779,-0.077295,-0.032917,35.923143,35.936718,30.192209,30.205784
10.000000,270.000000,2.000000,1.000000,3.000000,0.134533,357.538638,317.968144,-858.877172,-0.001101,-0.000375,35.924902,35.939768,30.193968,30.208834
