abs_b_deg,abs_c_deg,pass_num,accepted,point_id,touch_abs_x_mm,touch_abs_y_mm,touch_abs_z_mm
5.000000,20.000000,2.000000,1.000000,1.000000,304.058851,325.410679,-841.938575
5.000000,20.000000,2.000000,1.000000,2.000000,288.700518,319.821544,-861.301975
5.000000,20.000000,2.000000,1.000000,3.000000,322.343049,332.063962,-858.170008
5.000000,20.000000,2.000000,1.000000,4.000000,311.668533,309.057975,-859.735992
5.000000,20.000000,2.000000,1.000000,5.000000,299.374776,342.826367,-859.735992
5.000000,-20.000000,1.000000,0.000000,1.000000,304.056677,326.475731,-841.924503
5.000000,-20.000000,1.000000,0.000000,2.000000,288.665162,332.077822,-861.291409
5.000000,-20.000000,1.000000,0.000000,3.000000,322.228173,319.861885,-858.166249
5.000000,-20.000000,1.000000,0.000000,4.000000,299.426296,309.198163,-859.722085
5.000000,-20.000000,1.000000,0.000000,5.000000,311.714879,342.966158,-859.721920
5.000000,-20.000000,2.000000,1.000000,1.000000,304.033331,326.641537,-841.929765
5.000000,-20.000000,2.000000,1.000000,2.000000,288.710559,332.218432,-861.290280
5.000000,-20.000000,2.000000,1.000000,3.000000,322.282324,319.999309,-858.164632
5.000000,-20.000000,2.000000,1.000000,4.000000,299.350199,309.224429,-859.727182
5.000000,-20.000000,2.000000,1.000000,5.000000,311.643103,342.993512,-859.727347
-5.000000,20.000000,1.000000,0.000000,1.000000,306.956750,326.639254,-841.966515
-5.000000,20.000000,1.000000,0.000000,2.000000,288.594061,319.954645,-858.190846
-5.000000,20.000000,1.000000,0.000000,3.000000,322.269641,332.214067,-861.325706
-5.000000,20.000000,1.000000,0.000000,4.000000,311.662297,309.158687,-859.763935
-5.000000,20.000000,1.000000,0.000000,5.000000,299.372547,342.924720,-859.764092
-5.000000,20.000000,2.000000,1.000000,1.000000,306.918817,326.550465,-841.959222
-5.000000,20.000000,2.000000,1.000000,2.000000,288.615312,319.888570,-858.189000
-5.000000,20.000000,2.000000,1.000000,3.000000,322.293432,332.147911,-861.324151
-5.000000,20.000000,2.000000,1.000000,4.000000,311.599462,309.135040,-859.756642
-5.000000,20.000000,2.000000,1.000000,5.000000,299.310297,342.903681,-859.756800
-5.000000,-20.000000,1.000000,0.000000,1.000000,306.918444,325.485979,-841.959276
-5.000000,-20.000000,1.000000,0.000000,2.000000,288.602393,332.152440,-858.187892
-5.000000,-20.000000,1.000000,0.000000,3.000000,322.345779,319.870852,-861.329519
-5.000000,-20.000000,1.000000,0.000000,4.000000,299.347370,309.240528,-859.756853
-5.000000,-20.000000,1.000000,0.000000,5.000000,311.649372,343.039999,-859.756853
-5.000000,-20.000000,2.000000,1.000000,1.000000,306.982233,325.600313,-841.961971
-5.000000,-20.000000,2.000000,1.000000,2.000000,288.646278,332.274187,-858.188396
-5.000000,-20.000000,2.000000,1.000000,3.000000,322.392784,319.991463,-861.330314
-5.000000,-20.000000,2.000000,1.000000,4.000000,299.367861,309.230506,-859.759391
-5.000000,-20.000000,2.000000,1.000000,5.000000,311.670147,343.030759,-859.759391
0.000000,0.000000,1.000000,0.000000,1.000000,305.519090,326.131735,-841.875740
0.000000,0.000000,1.000000,0.000000,2.000000,287.536273,326.131737,-859.741207
0.000000,0.000000,1.000000,0.000000,3.000000,323.571682,326.131721,-859.741207
0.000000,0.000000,1.000000,0.000000,4.000000,305.519554,308.082258,-859.741207
0.000000,0.000000,1.000000,0.000000,5.000000,305.519714,344.028688,-859.741207
0.000000,0.000000,2.000000,1.000000,1.000000,305.554602,326.055460,-841.873406
0.000000,0.000000,2.000000,1.000000,2.000000,287.535631,326.055470,-859.738873
0.000000,0.000000,2.000000,1.000000,3.000000,323.569565,326.055470,-859.738873
0.000000,0.000000,2.000000,1.000000,4.000000,305.555065,308.082650,-859.738873
0.000000,0.000000,2.000000,1.000000,5.000000,305.554585,344.024929,-859.738873
0.000000,0.000000,1.000000,0.000000,1.000000,305.552734,326.055462,-841.878569
0.000000,0.000000,1.000000,0.000000,2.000000,287.528225,326.055460,-859.744032
0.000000,0.000000,1.000000,0.000000,3.000000,323.563018,326.055464,-859.744036
0.000000,0.000000,1.000000,0.000000,4.000000,305.552877,308.080160,-859.744036
0.000000,0.000000,1.000000,0.000000,5.000000,305.552717,344.022431,-859.744036
0.000000,0.000000,2.000000,1.000000,1.000000,305.545765,326.051294,-841.871236
0.000000,0.000000,2.000000,1.000000,2.000000,287.527948,326.051296,-859.736703
0.000000,0.000000,2.000000,1.000000,3.000000,323.562716,326.051296,-859.736703
0.000000,0.000000,2.000000,1.000000,4.000000,305.545908,308.080159,-859.736703
0.000000,0.000000,2.000000,1.000000,5.000000,305.545908,344.024926,-859.736703
5.000000,20.000000,1.000000,0.000000,1.000000,304.081886,325.520006,-841.932021
5.000000,20.000000,1.000000,0.000000,2.000000,288.654663,319.906149,-861.302123
5.000000,20.000000,1.000000,0.000000,3.000000,322.290939,332.146817,-858.170354
5.000000,20.000000,1.000000,0.000000,4.000000,311.721211,309.082821,-859.729603
5.000000,20.000000,1.000000,0.000000,5.000000,299.431464,342.851660,-859.729438
5.000000,20.000000,2.000000,1.000000,1.000000,304.041724,325.407067,-841.935529
5.000000,20.000000,2.000000,1.000000,2.000000,288.683343,319.818619,-861.298857
5.000000,20.000000,2.000000,1.000000,3.000000,322.324438,332.061217,-858.167273
5.000000,20.000000,2.000000,1.000000,4.000000,311.650215,309.056231,-859.732946
5.000000,20.000000,2.000000,1.000000,5.000000,299.359587,342.826326,-859.732946
5.000000,-20.000000,1.000000,0.000000,1.000000,304.039789,326.473533,-841.925667
5.000000,-20.000000,1.000000,0.000000,2.000000,288.644981,332.076822,-861.292554
5.000000,-20.000000,1.000000,0.000000,3.000000,322.211457,319.859624,-858.167724
5.000000,-20.000000,1.000000,0.000000,4.000000,299.407105,309.195029,-859.723084
5.000000,-20.000000,1.000000,0.000000,5.000000,311.698940,342.966099,-859.723084
5.000000,-20.000000,2.000000,1.000000,1.000000,304.014699,326.640505,-841.928585
5.000000,-20.000000,2.000000,1.000000,2.000000,288.693393,332.217042,-861.288954
5.000000,-20.000000,2.000000,1.000000,3.000000,322.258744,320.000254,-858.163576
5.000000,-20.000000,2.000000,1.000000,4.000000,299.331852,309.224180,-859.726001
5.000000,-20.000000,2.000000,1.000000,5.000000,311.624470,342.992480,-859.726166
-5.000000,20.000000,1.000000,0.000000,1.000000,306.935556,326.638014,-841.964656
-5.000000,20.000000,1.000000,0.000000,2.000000,288.574317,319.956445,-858.188987
-5.000000,20.000000,1.000000,0.000000,3.000000,322.254688,332.215098,-861.324428
-5.000000,20.000000,1.000000,0.000000,4.000000,311.641857,309.153503,-859.762076
-5.000000,20.000000,1.000000,0.000000,5.000000,299.351846,342.925650,-859.762076
-5.000000,20.000000,2.000000,1.000000,1.000000,306.902222,326.549785,-841.957759
-5.000000,20.000000,2.000000,1.000000,2.000000,288.597813,319.888399,-858.187089
-5.000000,20.000000,2.000000,1.000000,3.000000,322.278998,332.145002,-861.323050
-5.000000,20.000000,2.000000,1.000000,4.000000,311.584679,309.132882,-859.755336
-5.000000,20.000000,2.000000,1.000000,5.000000,299.292459,342.902913,-859.755178
-5.000000,-20.000000,1.000000,0.000000,1.000000,306.902373,325.484620,-841.959451
-5.000000,-20.000000,1.000000,0.000000,2.000000,288.587883,332.150513,-858.188212
-5.000000,-20.000000,1.000000,0.000000,3.000000,322.332222,319.868578,-861.329609
-5.000000,-20.000000,1.000000,0.000000,4.000000,299.330445,309.236820,-859.757028
-5.000000,-20.000000,1.000000,0.000000,5.000000,311.632650,343.036384,-859.757028
-5.000000,-20.000000,2.000000,1.000000,1.000000,306.967359,325.595942,-841.962335
-5.000000,-20.000000,2.000000,1.000000,2.000000,288.628858,332.270575,-858.188542
-5.000000,-20.000000,2.000000,1.000000,3.000000,322.374411,319.988198,-861.330689
-5.000000,-20.000000,2.000000,1.000000,4.000000,299.351252,309.226766,-859.759912
-5.000000,-20.000000,2.000000,1.000000,5.000000,311.655842,343.027954,-859.759755
