abs_b_deg,abs_c_deg,pass_num,accepted,b_ssi_abs_position_deg,b_ssi_zeroed_position_deg,c_ssi_abs_position_deg,c_ssi_zeroed_position_deg,b_ssi_rawcounts,c_ssi_rawcounts,b_following_error_udeg,c_following_error_udeg,b_axis_fb_udeg,c_axis_fb_udeg
5.000000,-20.000000,1.000000,0.000000,-177.928734,4.986466,200.879517,20.009217,-518255.000000,-585104.000000,138.916016,269.775391,5000138.916016,-19999730.224609
5.000000,-20.000000,2.000000,1.000000,-177.928391,4.986809,200.879517,20.009217,-518254.000000,-585104.000000,-204.406738,-73.547363,4999795.593262,-20000073.547363
-5.000000,20.000000,1.000000,0.000000,-187.950325,-5.035125,160.872803,-19.997497,-547445.000000,-468576.000000,-138.916016,-3016.357422,-5000138.916016,19996983.642578
-5.000000,20.000000,2.000000,1.000000,-187.950668,-5.035468,160.872459,-19.997841,-547446.000000,-468575.000000,204.406738,-2673.034668,-4999795.593262,19997326.965332
-5.000000,-20.000000,1.000000,0.000000,-187.950325,-5.035125,200.879860,20.009560,-547446.000000,-585105.000000,-138.916016,-73.547363,-5000138.916016,-20000073.547363
-5.000000,-20.000000,2.000000,1.000000,-187.950668,-5.035468,200.879517,20.009217,-547446.000000,-585104.000000,-138.916016,269.775391,-5000138.916016,-19999730.224609
0.000000,0.000000,1.000000,0.000000,-182.928543,-0.013343,180.871696,0.001396,-532818.000000,-526827.000000,-13.671875,-1910.095215,-13.671875,-1910.095215
0.000000,0.000000,2.000000,1.000000,-182.928543,-0.013343,180.867920,-0.002380,-532818.000000,-526816.000000,-13.671875,1866.455078,-13.671875,1866.455078
0.000000,0.000000,1.000000,0.000000,-182.928543,-0.013343,180.868950,-0.001350,-532818.000000,-526819.000000,-13.671875,836.486816,-13.671875,836.486816
0.000000,0.000000,2.000000,1.000000,-182.928543,-0.013343,180.869637,-0.000663,-532818.000000,-526821.000000,-13.671875,149.841309,-13.671875,149.841309
