abs_b_deg,abs_c_deg,pass_num,accepted,current_abs_x_mm,current_abs_y_mm,current_abs_z_mm,x_motor_pos_cmd_mm,x_motor_pos_fb_mm,x_motor_ferror_mm,y_motor_pos_cmd_mm,y_motor_pos_fb_mm,y_motor_ferror_mm,z_motor_pos_cmd_mm,z_motor_pos_fb_mm,z_motor_ferror_mm
0.000000,180.000000,2.000000,1.000000,468.970643,323.662503,-836.076573,468.238846,468.238847,0.000000,278.989450,278.989450,0.000000,-280.771239,-280.771239,0.000000
0.000000,270.000000,1.000000,0.000000,468.972735,323.662615,-836.087573,513.511822,513.511821,0.000000,322.931219,322.931219,0.000000,-280.782239,-280.782239,0.000000
0.000000,270.000000,2.000000,1.000000,468.861888,323.774555,-836.084406,513.512642,513.512642,0.000000,323.043159,323.043159,0.000000,-280.779072,-280.779072,0.000000
90.000000,270.000000,1.000000,0.000000,468.865795,301.379108,-858.949873,513.159228,513.159228,0.000000,16.016916,16.016916,0.000000,-589.612783,-589.612783,0.000000
90.000000,270.000000,2.000000,1.000000,468.637191,301.372608,-858.703206,513.163957,513.163957,0.000000,16.010416,16.010416,0.000000,-589.366116,-589.366116,0.000000
0.000000,270.000000,1.000000,0.000000,468.638871,324.238555,-836.097489,513.507124,513.507124,0.000000,323.507159,323.507159,0.000000,-280.792155,-280.792155,0.000000
0.000000,270.000000,2.000000,1.000000,468.858884,323.751535,-836.085989,513.516304,513.516304,0.000000,323.020139,323.020139,0.000000,-280.780655,-280.780655,0.000000
-90.000000,270.000000,1.000000,0.000000,468.853969,346.435820,-858.951456,513.479282,513.479280,-0.000002,631.672640,631.672640,0.000000,-588.276946,-588.276946,0.000000
-90.000000,270.000000,2.000000,1.000000,468.699950,346.452481,-858.400206,513.496096,513.496096,0.000000,631.689300,631.689300,0.000000,-587.725696,-587.725696,0.000000
0.000000,270.000000,1.000000,0.000000,468.699432,323.587455,-836.083864,513.517686,513.517685,0.000000,322.856059,322.856059,0.000000,-280.778530,-280.778530,0.000000
0.000000,270.000000,2.000000,1.000000,468.863169,323.783722,-836.084031,513.517256,513.517255,-0.000001,323.052326,323.052326,0.000000,-280.778697,-280.778697,0.000000
0.000000,0.000000,1.000000,0.000000,468.776624,323.677576,-836.112281,-0.189064,-0.189064,0.000000,17.871347,17.871347,0.000000,-22.894347,-22.894347,0.000000
0.000000,0.000000,2.000000,1.000000,468.855374,323.679243,-836.109115,-0.110314,-0.110314,0.000000,17.873013,17.873013,0.000000,-22.891181,-22.891181,0.000000
0.000000,90.000000,1.000000,0.000000,468.856003,323.679819,-836.090948,-45.449201,-45.449199,0.000002,-26.178468,-26.178468,0.000000,-22.873014,-22.873014,0.000000
0.000000,90.000000,2.000000,1.000000,468.843084,323.659323,-836.093615,-45.451287,-45.451286,0.000000,-26.198965,-26.198965,0.000000,-22.875681,-22.875681,0.000000
0.000000,180.000000,1.000000,0.000000,468.842507,323.659327,-836.077948,-1.389805,-1.389805,0.000000,-71.496811,-71.496811,0.000000,-22.860014,-22.860014,0.000000
0.000000,180.000000,2.000000,1.000000,468.861274,323.678080,-836.078948,-1.371038,-1.371038,0.000000,-71.494724,-71.494724,0.000000,-22.861014,-22.861014,0.000000
0.000000,270.000000,1.000000,0.000000,468.861747,323.678404,-836.085781,43.897284,43.897283,0.000000,-27.446508,-27.446508,0.000000,-22.867847,-22.867847,0.000000
0.000000,270.000000,2.000000,1.000000,468.844652,323.676161,-836.088448,43.902689,43.902687,-0.000002,-27.448751,-27.448751,0.000000,-22.870514,-22.870514,0.000000
0.000000,0.000000,1.000000,0.000000,468.845904,323.677282,-836.109448,-0.119784,-0.119784,0.000000,17.866886,17.866886,0.000000,-22.891514,-22.891514,0.000000
0.000000,0.000000,2.000000,1.000000,468.850071,323.676032,-836.109615,-0.115617,-0.115617,0.000000,17.871470,17.871470,0.000000,-22.891681,-22.891681,0.000000
