sequence_id,approach_b_deg,pass_num,accepted,point_id,abs_x_mm,abs_y_mm,abs_z_mm
2.000000,-5.000000,2.000000,1.000000,1.000000,357.704222,317.960335,-841.882689
2.000000,-5.000000,2.000000,1.000000,2.000000,339.758088,317.960335,-859.748156
2.000000,-5.000000,2.000000,1.000000,3.000000,375.649523,317.960335,-859.748156
2.000000,-5.000000,2.000000,1.000000,4.000000,357.704222,299.995035,-859.748156
2.000000,-5.000000,2.000000,1.000000,5.000000,357.704222,335.926469,-859.748156
3.000000,5.000000,1.000000,0.000000,1.000000,357.704014,317.960544,-841.884523
3.000000,5.000000,1.000000,0.000000,2.000000,339.757047,317.960544,-859.749990
3.000000,5.000000,1.000000,0.000000,3.000000,375.645981,317.960544,-859.749990
3.000000,5.000000,1.000000,0.000000,4.000000,357.704014,299.994410,-859.749990
3.000000,5.000000,1.000000,0.000000,5.000000,357.704014,335.925844,-859.749990
3.000000,5.000000,2.000000,1.000000,1.000000,357.701514,317.960127,-841.883856
3.000000,5.000000,2.000000,1.000000,2.000000,339.757880,317.960127,-859.749323
3.000000,5.000000,2.000000,1.000000,3.000000,375.646814,317.960127,-859.749323
3.000000,5.000000,2.000000,1.000000,4.000000,357.701514,299.994827,-859.749323
3.000000,5.000000,2.000000,1.000000,5.000000,357.701514,335.924594,-859.749323
4.000000,-5.000000,1.000000,0.000000,1.000000,357.701930,317.959919,-841.882356
4.000000,-5.000000,1.000000,0.000000,2.000000,339.760796,317.959919,-859.747823
4.000000,-5.000000,1.000000,0.000000,3.000000,375.649731,317.959919,-859.747823
4.000000,-5.000000,1.000000,0.000000,4.000000,357.701930,299.989618,-859.747823
4.000000,-5.000000,1.000000,0.000000,5.000000,357.701930,335.923552,-859.747823
4.000000,-5.000000,2.000000,1.000000,1.000000,357.705264,317.956585,-841.882523
4.000000,-5.000000,2.000000,1.000000,2.000000,339.761630,317.956585,-859.747990
4.000000,-5.000000,2.000000,1.000000,3.000000,375.650564,317.956585,-859.747990
4.000000,-5.000000,2.000000,1.000000,4.000000,357.705263,299.992952,-859.747990
4.000000,-5.000000,2.000000,1.000000,5.000000,357.705263,335.924386,-859.747990
5.000000,5.000000,1.000000,0.000000,1.000000,357.705680,317.957627,-841.885189
5.000000,5.000000,1.000000,0.000000,2.000000,339.757880,317.957627,-859.750656
5.000000,5.000000,1.000000,0.000000,3.000000,375.648480,317.957627,-859.750656
5.000000,5.000000,1.000000,0.000000,4.000000,357.705680,299.993160,-859.750656
5.000000,5.000000,1.000000,0.000000,5.000000,357.705680,335.926261,-859.750656
5.000000,5.000000,2.000000,1.000000,1.000000,357.703180,317.959710,-841.884523
5.000000,5.000000,2.000000,1.000000,2.000000,339.757880,317.959710,-859.749990
5.000000,5.000000,2.000000,1.000000,3.000000,375.646814,317.959710,-859.749990
5.000000,5.000000,2.000000,1.000000,4.000000,357.703180,299.993577,-859.749990
5.000000,5.000000,2.000000,1.000000,5.000000,357.703180,335.924177,-859.749990
6.000000,-5.000000,1.000000,0.000000,1.000000,357.702763,317.959294,-841.884689
6.000000,-5.000000,1.000000,0.000000,2.000000,339.761630,317.959294,-859.750156
6.000000,-5.000000,1.000000,0.000000,3.000000,375.649731,317.959294,-859.750156
6.000000,-5.000000,1.000000,0.000000,4.000000,357.702763,299.993993,-859.750156
6.000000,-5.000000,1.000000,0.000000,5.000000,357.702763,335.924594,-859.750156
6.000000,-5.000000,2.000000,1.000000,1.000000,357.705680,317.959294,-841.885689
6.000000,-5.000000,2.000000,1.000000,2.000000,339.763713,317.959294,-859.751156
6.000000,-5.000000,2.000000,1.000000,3.000000,375.650981,317.959294,-859.751156
6.000000,-5.000000,2.000000,1.000000,4.000000,357.705680,299.993160,-859.751156
6.000000,-5.000000,2.000000,1.000000,5.000000,357.705680,335.922927,-859.751156
